t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
9.20E-05,-4.459981,-4.459981,-5.63E-06,-5.63E-06,-4.463865,-4.4638658,0.63224113,2.0231714,1.21E-05
9.23E-05,-4.5279107,-4.5279107,9.94E-06,9.94E-06,-4.5301914,-4.5301905,0.639703,2.0470498,1.25E-05
9.26E-05,-4.6019125,-4.6019125,-5.70E-06,-5.70E-06,-4.602877,-4.602878,0.6481202,2.0739846,1.30E-05
9.30E-05,-4.6840134,-4.6840134,9.85E-06,9.85E-06,-4.6845613,-4.68456,0.6578482,2.1051142,1.35E-05
9.34E-05,-4.765516,-4.765516,-5.78E-06,-5.78E-06,-4.7655606,-4.765561,0.6679064,2.1373003,1.40E-05
9.38E-05,-4.861907,-4.861907,9.74E-06,9.74E-06,-4.8620152,-4.8620143,0.6803779,2.1772094,1.47E-05
9.43E-05,-4.9719734,-4.9719734,-5.88E-06,-5.88E-06,-4.9718122,-4.971813,0.6954015,2.2252848,1.57E-05
9.50E-05,-5.110359,-5.110359,9.60E-06,9.60E-06,-5.110389,-5.1103883,0.7156244,2.289998,1.70E-05
9.59E-05,-5.2845664,-5.2845664,-6.05E-06,-6.05E-06,-5.284381,-5.2843814,0.7434027,2.3788888,1.94E-05
9.77E-05,-5.592519,-5.592519,9.33E-06,9.33E-06,-5.592542,-5.5925407,0.8001521,2.560487,2.35E-05
0.0001,-5.924735,-5.924735,-6.42E-06,-6.42E-06,-5.9245462,-5.924547,0.8759459,2.8030272,2.63E-05
0.0001,-5.9246845,-5.9246845,-1.74E-05,-1.74E-05,-5.924458,-5.924471,0.87594604,2.8030272,2.63E-05
