t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
7.44E-05,-0.011661828,-0.011661828,-6.115888,-6.115888,-6.115892,-6.115892,0.38629308,1.2747674,1.82E-06
7.44E-05,-0.011803847,-0.011803847,-6.115682,-6.115682,-6.115686,-6.115687,0.38634253,1.2749305,1.82E-06
7.44E-05,-0.011795634,-0.011795634,-6.11551,-6.11551,-6.115514,-6.115514,0.38640052,1.2751219,1.82E-06
7.44E-05,-0.011933035,-0.011933035,-6.115291,-6.115291,-6.1152945,-6.1152954,0.3864543,1.2752991,1.82E-06
7.44E-05,-0.011992493,-0.011992493,-6.114942,-6.114942,-6.114946,-6.114946,0.38656208,1.2756548,1.83E-06
7.44E-05,-0.012322084,-0.012322084,-6.114157,-6.114157,-6.1141605,-6.1141615,0.3867774,1.2763658,1.83E-06
7.44E-05,-0.012784243,-0.012784243,-6.112674,-6.112674,-6.112678,-6.112678,0.3872081,1.2777865,1.84E-06
7.45E-05,-0.013945365,-0.013945365,-6.109626,-6.109626,-6.109629,-6.10963,0.388069,1.2806277,1.86E-06
7.45E-05,-0.016196571,-0.016196571,-6.103625,-6.103625,-6.1036286,-6.1036286,0.3897894,1.2863047,1.89E-06
7.46E-05,-0.021424508,-0.021424508,-6.091589,-6.091589,-6.091592,-6.091593,0.39322412,1.2976396,1.97E-06
7.48E-05,-0.033737097,-0.033737097,-6.067846,-6.067846,-6.0678487,-6.0678487,0.40006995,1.320231,2.11E-06
7.52E-05,-0.06467025,-0.06467025,-6.023776,-6.023776,-6.0237775,-6.0237784,0.41300324,1.3629105,2.31E-06
7.55E-05,-0.1019305,-0.1019305,-5.984158,-5.984158,-5.9841595,-5.9841595,0.425055,1.4026814,2.51E-06
7.58E-05,-0.14283672,-0.14283672,-5.949489,-5.949489,-5.9494896,-5.9494905,0.43600956,1.4388316,2.72E-06
7.62E-05,-0.1980717,-0.1980717,-5.911145,-5.911145,-5.9111457,-5.9111457,0.448722,1.4807825,2.96E-06
7.65E-05,-0.25518057,-0.25518057,-5.87817,-5.87817,-5.8781695,-5.8781705,0.4602281,1.5187523,3.20E-06
