Save Time:,2026-02-20 16:25:49,,
,,CH1,CH2
Frequency:,,?,?
Period:,,?,?
SP:,,10000.000 uS,10000.000 uS
PK-PK:,,120.000 mV,1.800 V
,,,
Units:(mV),,,
696,6960000.000us,40,1720
697,6970000.000us,40,1680
698,6980000.000us,40,1720
699,6990000.000us,40,1680
700,7000000.000us,40,1720
701,7010000.000us,40,1800
702,7020000.000us,40,1680
703,7030000.000us,0,1720
704,7040000.000us,80,1720
705,7050000.000us,80,1720
706,7060000.000us,40,1720
707,7070000.000us,0,1720
708,7080000.000us,40,1720
709,7090000.000us,40,1680
710,7100000.000us,40,1720
711,7110000.000us,80,1720
712,7120000.000us,80,1720
713,7130000.000us,40,1720
714,7140000.000us,80,1680
715,7150000.000us,40,1720
716,7160000.000us,40,1680
717,7170000.000us,80,1720
718,7180000.000us,80,1680
719,7190000.000us,40,1720
720,7200000.000us,40,1760
721,7210000.000us,40,1720
722,7220000.000us,80,1720
723,7230000.000us,40,1720
724,7240000.000us,40,1720
725,7250000.000us,40,1720
726,7260000.000us,40,1680
727,7270000.000us,40,1720
728,7280000.000us,40,1680
729,7290000.000us,40,1720
730,7300000.000us,40,1720
731,7310000.000us,40,1720
732,7320000.000us,0,1640
733,7330000.000us,40,1680
734,7340000.000us,40,1720
735,7350000.000us,80,1680
736,7360000.000us,80,1680
737,7370000.000us,40,1720
738,7380000.000us,40,1680
739,7390000.000us,40,1720
740,7400000.000us,40,1680
741,7410000.000us,40,1720
742,7420000.000us,0,1720
743,7430000.000us,40,1680
744,7440000.000us,40,1720
745,7450000.000us,40,1720
746,7460000.000us,40,1720
747,7470000.000us,0,1720
748,7480000.000us,80,1760
749,7490000.000us,40,1680
750,7500000.000us,40,1720
751,7510000.000us,0,1720
752,7520000.000us,40,1720
753,7530000.000us,80,1720
754,7540000.000us,40,1720
755,7550000.000us,40,1760
756,7560000.000us,80,1680
757,7570000.000us,40,1720
758,7580000.000us,0,1720
759,7590000.000us,40,1720
