time	V(n001)	I(Cij)
1.118282256023343e-06	3.199982e+00	-3.210557e-03
1.122644014312893e-06	3.199982e+00	-3.210361e-03
1.127751208677373e-06	3.199982e+00	-3.210768e-03
1.132265439159639e-06	3.199982e+00	-3.211337e-03
1.136823136508467e-06	3.199982e+00	-3.211551e-03
1.142061899356800e-06	3.199982e+00	-3.211145e-03
1.146453485052976e-06	3.199982e+00	-3.210619e-03
1.150867131420126e-06	3.199982e+00	-3.210442e-03
1.156009612574246e-06	3.199982e+00	-3.210857e-03
1.160389217003882e-06	3.199982e+00	-3.211395e-03
1.164973093119929e-06	3.199982e+00	-3.211594e-03
1.170242369140003e-06	3.199982e+00	-3.211188e-03
1.174546458070594e-06	3.199982e+00	-3.210687e-03
1.178994973664711e-06	3.199982e+00	-3.210520e-03
1.184175638045504e-06	3.199982e+00	-3.210933e-03
1.188505899819788e-06	3.199982e+00	-3.211450e-03
1.193136308348724e-06	3.199982e+00	-3.211636e-03
1.198451282977863e-06	3.199982e+00	-3.211229e-03
1.202698789482686e-06	3.199982e+00	-3.210749e-03
1.207202158158537e-06	3.199982e+00	-3.210597e-03
1.212425609547261e-06	3.199982e+00	-3.211015e-03
1.216703968085716e-06	3.199982e+00	-3.211509e-03
1.221402653850840e-06	3.199982e+00	-3.211676e-03
1.226762539996875e-06	3.199982e+00	-3.211260e-03
1.231008696606995e-06	3.199982e+00	-3.210801e-03
1.235624809044792e-06	3.199982e+00	-3.210678e-03
1.240897042015870e-06	3.199982e+00	-3.211115e-03
1.245192514362839e-06	3.199982e+00	-3.211586e-03
1.250067642699285e-06	3.199982e+00	-3.211704e-03
1.255490472707438e-06	3.199982e+00	-3.211253e-03
1.259728066382060e-06	3.199982e+00	-3.210828e-03
1.264594809943306e-06	3.199982e+00	-3.210779e-03
1.274228017049787e-06	3.199982e+00	-3.211688e-03
1.279491652886366e-06	3.199982e+00	-3.211693e-03
1.285065278234926e-06	3.199982e+00	-3.211175e-03
1.289303888999259e-06	3.199982e+00	-3.210831e-03
1.294870247512937e-06	3.199982e+00	-3.210965e-03
1.300561781394785e-06	3.199982e+00	-3.211540e-03
1.305252111029031e-06	3.199982e+00	-3.211813e-03
1.311354602925281e-06	3.199982e+00	-3.211488e-03
1.317319147868007e-06	3.199982e+00	-3.210950e-03
1.322678991525643e-06	3.199982e+00	-3.210944e-03
1.328442090983240e-06	3.199982e+00	-3.211471e-03
1.332873424216698e-06	3.199982e+00	-3.211825e-03
1.338795105635418e-06	3.199982e+00	-3.211676e-03
1.344820787647452e-06	3.199982e+00	-3.211120e-03
1.349705277119277e-06	3.199982e+00	-3.210939e-03
1.355733716615608e-06	3.199982e+00	-3.211348e-03
1.361022748763797e-06	3.199982e+00	-3.211822e-03
1.366590200267569e-06	3.199982e+00	-3.211807e-03
1.372497683478702e-06	3.199982e+00	-3.211294e-03
1.376946165928797e-06	3.199982e+00	-3.211007e-03
1.383514724800467e-06	3.199982e+00	-3.211276e-03
1.389817942483347e-06	3.199982e+00	-3.211833e-03
1.395417117730844e-06	3.199982e+00	-3.211878e-03
1.401577062681323e-06	3.199982e+00	-3.211381e-03
1.406098253535387e-06	3.199982e+00	-3.211077e-03
1.412195097423963e-06	3.199982e+00	-3.211279e-03
1.418362332800603e-06	3.199982e+00	-3.211827e-03
1.423735180447233e-06	3.199982e+00	-3.211953e-03
1.429949233086556e-06	3.199982e+00	-3.211512e-03
1.434634652191781e-06	3.199982e+00	-3.211160e-03
1.440333747917865e-06	3.199982e+00	-3.211259e-03
1.446277706486314e-06	3.199982e+00	-3.211778e-03
1.451167441863634e-06	3.199982e+00	-3.212014e-03
1.457673200484140e-06	3.199982e+00	-3.211684e-03
1.463693338400147e-06	3.199982e+00	-3.211231e-03
1.469542461829011e-06	3.199982e+00	-3.211304e-03
1.475689949914050e-06	3.199982e+00	-3.211819e-03
1.480530449154521e-06	3.199982e+00	-3.212051e-03
1.487274308438290e-06	3.199982e+00	-3.211722e-03
1.493459930265011e-06	3.199982e+00	-3.211280e-03
1.499491602690970e-06	3.199982e+00	-3.211382e-03
1.505775463389612e-06	3.199982e+00	-3.211896e-03
1.510747187599021e-06	3.199982e+00	-3.212086e-03
1.517509437979975e-06	3.199982e+00	-3.211718e-03
1.523192686091184e-06	3.199982e+00	-3.211329e-03
1.529274408476994e-06	3.199982e+00	-3.211451e-03
1.535584530109835e-06	3.199982e+00	-3.211954e-03
1.540775617893345e-06	3.199982e+00	-3.212115e-03
1.552873451133190e-06	3.199982e+00	-3.211377e-03
1.559064718879152e-06	3.199982e+00	-3.211518e-03
1.565448969867751e-06	3.199982e+00	-3.212012e-03
1.570889195209061e-06	3.199982e+00	-3.212139e-03
1.577571998289918e-06	3.199982e+00	-3.211733e-03
1.582688435062049e-06	3.199982e+00	-3.211422e-03
