I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.0632827,-3.0632827,-3.0632827,-3.0632827,-3.0632827,-3.0623398,-3.0623398,-3.0623398,-3.0623398,-3.0623398,-3.0336208,-3.033621,-3.0336208,-3.0336208,-3.0336208,-2.9936454,-2.9936442,-2.9936445,-2.9936445,-2.9936442,-2.9505415,-2.9505427,-2.9505432,-2.9505434,-2.9505434,14.753895,14.759276,4.668409852661167e-05
-3.0345461,-3.0345461,-3.0345461,-3.0345461,-3.0345461,-3.0335977,-3.0335977,-3.0335977,-3.0335977,-3.0335977,-3.0034046,-3.0034049,-3.0034049,-3.0034044,-3.0034046,-2.9652364,-2.9652352,-2.9652355,-2.9652355,-2.9652352,-2.9225585,-2.9225597,-2.92256,-2.92256,-2.9225602,14.617707,14.619766,4.7934098526611666e-05
-3.026151,-3.026151,-3.026151,-3.026151,-3.026151,-3.0251992,-3.0251992,-3.0251992,-3.0251992,-3.0251992,-2.992971,-2.9929712,-2.992971,-2.9929707,-2.992971,-2.9569442,-2.956943,-2.9569433,-2.9569433,-2.956943,-2.9144027,-2.9144037,-2.9144042,-2.9144042,-2.9144044,14.579286,14.579293,4.824659852661167e-05
-3.0093575,-3.0093575,-3.0093575,-3.0093575,-3.0093575,-3.0084002,-3.0084002,-3.0084002,-3.0084002,-3.0084002,-2.9760885,-2.9760888,-2.9760888,-2.9760885,-2.9760888,-2.9403572,-2.9403563,-2.9403563,-2.9403565,-2.9403563,-2.898089,-2.8980901,-2.8980906,-2.8980908,-2.8980908,14.497986,14.497891,4.887159852661167e-05
-2.9759772,-2.9759772,-2.9759772,-2.9759772,-2.9759772,-2.975012,-2.975012,-2.975012,-2.975012,-2.975012,-2.9428332,-2.9428332,-2.9428332,-2.942833,-2.9428332,-2.9073904,-2.9073892,-2.9073894,-2.9073894,-2.9073892,-2.8656604,-2.8656616,-2.8656623,-2.8656623,-2.8656623,14.336422,14.335934,5.0121598526611665e-05
-2.9100256,-2.9100256,-2.9100256,-2.9100256,-2.9100256,-2.9090543,-2.9090543,-2.9090543,-2.9090543,-2.9090543,-2.8770134,-2.8770137,-2.8770137,-2.8770132,-2.8770134,-2.8422425,-2.8422415,-2.8422418,-2.8422418,-2.8422415,-2.8015478,-2.801549,-2.8015494,-2.8015497,-2.8015497,14.017686,14.01569,5.2621598526611665e-05
-2.7809956,-2.7809956,-2.7809956,-2.7809956,-2.7809956,-2.7800205,-2.7800205,-2.7800205,-2.7800205,-2.7800205,-2.7484355,-2.7484355,-2.7484355,-2.7484353,-2.7484355,-2.7147677,-2.7147665,-2.7147667,-2.7147667,-2.7147665,-2.6760538,-2.6760547,-2.6760552,-2.6760552,-2.6760552,13.36134,13.387687,5.7621598526611664e-05
-2.4903712,-2.4903712,-2.4903712,-2.4903712,-2.4903712,-2.489383,-2.489383,-2.489383,-2.489383,-2.489383,-2.4584744,-2.4584746,-2.4584744,-2.4584742,-2.4584744,-2.4270325,-2.4270315,-2.4270318,-2.4270318,-2.4270315,-2.391641,-2.391642,-2.3916428,-2.3916428,-2.391643,11.786037,11.966468,6.762159852661166e-05
-2.0482512,-2.0482512,-2.0482512,-2.0482512,-2.0482512,-2.0472155,-2.0472155,-2.0472155,-2.0472155,-2.0472155,-2.0169635,-2.0169635,-2.0169635,-2.0169632,-2.0169635,-1.9874045,-1.9874035,-1.9874038,-1.9874038,-1.9874038,-0.082282245,-0.082282245,-0.082282245,-0.082282245,-0.082282245,9.848277,9.812593,7.762159852661166e-05
-2.0409129,-2.0409129,-2.0409129,-2.0409129,-2.0409129,-2.0398905,-2.0398905,-2.0398905,-2.0398905,-2.0398905,-2.0096352,-2.0096354,-2.0096352,-2.0096352,-2.0096352,-1.9802134,-1.9802126,-1.9802128,-1.9802128,-1.9802126,0.019963492,0.019963492,0.019963492,0.019963492,0.019963492,9.776016,9.775572,7.814770901222913e-05
-2.026721,-2.026721,-2.026721,-2.026721,-2.026721,-2.0257168,-2.0257168,-2.0257168,-2.0257168,-2.0257168,-1.9955481,-1.9955484,-1.9955481,-1.9955479,-1.9955481,-1.9663404,-1.9663396,-1.9663398,-1.9663398,-1.9663396,0.021875065,0.021875065,0.021875065,0.021875065,0.021875065,9.705942,9.706666,7.919992998346408e-05
-1.9969896,-1.9969896,-1.9969896,-1.9969896,-1.9969896,-1.996,-1.996,-1.996,-1.996,-1.996,-1.966005,-1.9660052,-1.9660052,-1.966005,-1.966005,-1.9372244,-1.9372234,-1.9372236,-1.9372237,-1.9372234,0.017075017,0.017075017,0.017075017,0.017075017,0.017075017,9.560616,9.563309,8.130437192593397e-05
-1.9532914,-1.9532914,-1.9532914,-1.9532914,-1.9532914,-1.9523066,-1.9523066,-1.9523066,-1.9523066,-1.9523066,-1.9225268,-1.922527,-1.922527,-1.9225267,-1.9225268,-1.8942032,-1.8942021,-1.8942024,-1.8942024,-1.8942021,0.019212054,0.019212054,0.019212054,0.019212054,0.019212054,9.292826,9.348745,8.418597279775134e-05
