I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3306437,-3.3306437,-3.3306437,-3.3306437,-3.3306437,-3.314021,-3.314021,-3.314021,-3.314021,-3.314021,-3.2853434,-3.2853434,-3.2853434,-3.2853434,-3.2853434,-3.2845623,-3.2845623,-3.2845623,-3.2845623,-3.2845623,-3.2730753,-3.2730753,-3.2730753,-3.2730753,-3.2730753,16.291304,16.290953,5.105737029010511e-05
-3.292367,-3.292367,-3.292367,-3.292367,-3.292367,-3.2758372,-3.2758372,-3.2758372,-3.2758372,-3.2758372,-3.2445564,-3.2445564,-3.2445564,-3.2445562,-3.2445564,-3.2470212,-3.2470212,-3.2470212,-3.2470212,-3.2470212,-3.2357075,-3.2357075,-3.2357075,-3.2357075,-3.2357075,16.106369,16.104975,5.657553701100058e-05
-3.2248287,-3.2248287,-3.2248287,-3.2248287,-3.2248287,-3.208466,-3.208466,-3.208466,-3.208466,-3.208466,-3.1815102,-3.1815102,-3.1815102,-3.1815102,-3.1815102,-3.180748,-3.180748,-3.180748,-3.180748,-3.180748,-3.1697385,-3.1697385,-3.1697385,-3.1697385,-3.1697385,15.776962,15.776595,6.657553701100059e-05
-3.2165682,-3.2165682,-3.2165682,-3.2165682,-3.2165682,-3.2002223,-3.2002223,-3.2002223,-3.2002223,-3.2002223,-3.1718063,-3.1718063,-3.1718063,-3.1718063,-3.1718063,-3.172641,-3.172641,-3.172641,-3.172641,-3.172641,-3.1616685,-3.1616685,-3.1616685,-3.1616685,-3.1616685,15.736361,15.736407,6.782553701100058e-05
-3.1999702,-3.1999702,-3.1999702,-3.1999702,-3.1999702,-3.1836174,-3.1836174,-3.1836174,-3.1836174,-3.1836174,-3.155503,-3.1555033,-3.155503,-3.155503,-3.155503,-3.1563573,-3.1563573,-3.1563573,-3.1563573,-3.1563573,-3.1454606,-3.1454606,-3.1454606,-3.1454606,-3.1454606,15.655685,15.655757,7.032553701100058e-05
-3.1957774,-3.1957774,-3.1957774,-3.1957774,-3.1957774,-3.1794014,-3.1794014,-3.1794014,-3.1794014,-3.1794014,-3.1514003,-3.1514003,-3.1514,-3.1514,-3.1514003,-3.1522436,-3.1522436,-3.1522436,-3.1522436,-3.1522436,-3.1413665,-3.1413665,-3.1413665,-3.1413665,-3.1413665,15.634976,15.635346,7.095053701100059e-05
-3.1868503,-3.1868503,-3.1868503,-3.1868503,-3.1868503,-3.1700327,-3.170033,-3.1700327,-3.1700327,-3.1700327,-3.142646,-3.142646,-3.142646,-3.1426458,-3.142646,-3.1434984,-3.1434984,-3.1434984,-3.1434984,-3.1434984,-3.1326683,-3.1326683,-3.1326683,-3.1326683,-3.1326683,15.590788,15.591952,7.220053701100059e-05
-3.1839056,-3.1839056,-3.1839056,-3.1839056,-3.1839056,-3.1661334,-3.1661339,-3.1661334,-3.1661334,-3.1661336,-3.139765,-3.139765,-3.139765,-3.139765,-3.139765,-3.1406264,-3.1406264,-3.1406264,-3.1406264,-3.1406264,-3.1298196,-3.1298196,-3.1298196,-3.1298196,-3.1298196,15.577204,15.577871,7.251303701100058e-05
-3.1770494,-3.1770494,-3.1770494,-3.1770494,-3.1770494,-3.1576593,-3.1576595,-3.1576593,-3.1576593,-3.1576593,-3.1330595,-3.1330595,-3.1330593,-3.1330593,-3.1330593,-3.133954,-3.133954,-3.133954,-3.133954,-3.133954,-3.123206,-3.123206,-3.123206,-3.123206,-3.123206,15.545094,15.545179,7.313803701100058e-05
-3.1634068,-3.1634068,-3.1634068,-3.1634068,-3.1634068,-3.1456194,-3.1456196,-3.1456194,-3.1456194,-3.1456196,-3.119717,-3.119717,-3.119717,-3.119717,-3.119717,-3.1206515,-3.1206515,-3.1206515,-3.1206515,-3.1206515,-3.1099954,-3.1099954,-3.1099954,-3.1099954,-3.1099954,15.4796095,15.479574,7.438803701100058e-05
-3.137734,-3.137734,-3.137734,-3.137734,-3.137734,-3.1185598,-3.1185598,-3.1185598,-3.1185598,-3.1185598,-3.094606,-3.094606,-3.094606,-3.094606,-3.094606,-3.0955696,-3.0955696,-3.0955696,-3.0955696,-3.0955696,-3.0850472,-3.0850472,-3.0850472,-3.0850472,-3.0850472,15.355971,15.355503,7.677408496008735e-05
-3.0873759,-3.0873759,-3.0873759,-3.0873759,-3.0873759,-3.070017,-3.0700176,-3.070017,-3.070017,-3.0700173,-3.0453296,-3.0453296,-3.0453296,-3.0453293,-3.0453296,-3.0462997,-3.0462997,-3.0462997,-3.0462997,-3.0462997,-3.036006,-3.036006,-3.036006,-3.036006,-3.036006,15.114055,15.1115465,8.154618085826091e-05
-2.9902163,-2.9902163,-2.9902163,-2.9902163,-2.9902163,-2.9719126,-2.9719129,-2.9719126,-2.9719126,-2.9719129,-2.9502244,-2.9502244,-2.9502242,-2.9502242,-2.9502244,-2.951173,-2.951173,-2.951173,-2.951173,-2.951173,-2.9413106,-2.9413106,-2.9413106,-2.9413106,-2.9413106,14.644741,14.640369,9.109037265460802e-05
-2.9032335,-2.9032335,-2.9032335,-2.9032335,-2.9032335,-2.8869555,-2.8869557,-2.8869555,-2.8869555,-2.8869555,-2.865064,-2.865064,-2.865064,-2.865064,-2.865064,-2.8659978,-2.8659978,-2.8659978,-2.8659978,-2.8659978,-2.8565242,-2.8565242,-2.8565242,-2.8565242,-2.8565242,14.218301,14.218301,0.00010000000099999939
-2.9032726,-2.9032726,-2.9032726,-2.9032726,-2.9032726,-2.886808,-2.8868082,-2.886808,-2.886808,-2.886808,-2.8571856,-2.8571856,-2.8571854,-2.8571854,-2.8571856,-2.866036,-2.866036,-2.866036,-2.866036,-2.866036,-2.856562,-2.856562,-2.856562,-2.856562,-2.856562,14.2183,14.218301,0.0001000000019999994
-2.903267,-2.903267,-2.903267,-2.903267,-2.903267,-2.8866582,-2.8866584,-2.8866582,-2.8866582,-2.8866582,-2.8101566,-2.8101568,-2.8101566,-2.8101566,-2.8101566,-2.8660305,-2.8660305,-2.8660305,-2.8660305,-2.8660305,-2.8565567,-2.8565567,-2.8565567,-2.8565567,-2.8565567,14.218273,14.218274,0.00010000001799999939
-2.9032562,-2.9032562,-2.9032562,-2.9032562,-2.9032562,-2.887298,-2.8872983,-2.887298,-2.887298,-2.8872983,-2.853842,-2.853842,-2.8538418,-2.8538418,-2.853842,-2.8660195,-2.8660195,-2.8660195,-2.8660195,-2.8660195,-2.856546,-2.856546,-2.856546,-2.856546,-2.856546,14.218235,14.218223,0.0001000000499999994
-2.9032516,-2.9032516,-2.9032516,-2.9032516,-2.9032516,-2.886743,-2.8867435,-2.886743,-2.886743,-2.8867433,-2.8738544,-2.8738544,-2.8738544,-2.8738544,-2.8738544,-2.8660154,-2.8660154,-2.8660154,-2.8660154,-2.8660154,-2.8565419,-2.8565419,-2.856542,-2.8565419,-2.8565419,14.218208,14.218204,0.0001000001139999994
-2.9032514,-2.9032514,-2.9032514,-2.9032514,-2.9032514,-2.8872354,-2.8872356,-2.8872354,-2.8872354,-2.8872354,-2.8652017,-2.8652017,-2.8652017,-2.8652017,-2.8652017,-2.866015,-2.866015,-2.866015,-2.866015,-2.866015,-2.8565412,-2.8565412,-2.8565412,-2.8565412,-2.8565412,14.218196,14.218199,0.00010000024199999939
-2.9032466,-2.9032466,-2.9032466,-2.9032466,-2.9032466,-2.8867471,-2.8867474,-2.8867471,-2.8867471,-2.8867474,-2.870061,-2.8700612,-2.870061,-2.870061,-2.870061,-2.8660107,-2.8660107,-2.8660107,-2.8660107,-2.8660107,-2.856537,-2.856537,-2.856537,-2.856537,-2.856537,14.21818,14.218179,0.0001000004979999994
-2.9032407,-2.9032407,-2.9032407,-2.9032407,-2.9032407,-2.8871694,-2.8871696,-2.8871694,-2.8871694,-2.8871694,-2.8644097,-2.86441,-2.8644097,-2.8644097,-2.8644097,-2.8660047,-2.8660047,-2.8660047,-2.8660047,-2.8660047,-2.856531,-2.856531,-2.856531,-2.856531,-2.856531,14.218147,14.218147,0.0001000010099999994
-2.9032269,-2.9032269,-2.9032269,-2.9032269,-2.9032269,-2.8866184,-2.8866186,-2.8866184,-2.8866184,-2.8866184,-2.8672252,-2.8672252,-2.867225,-2.867225,-2.8672252,-2.8659916,-2.8659916,-2.8659916,-2.8659916,-2.8659916,-2.856518,-2.856518,-2.856518,-2.856518,-2.856518,14.218086,14.218084,0.0001000020339999994
