time	V(out_positive,out_negative)
2.443870658748990e-02	3.190801e+00
2.444870658748990e-02	3.190803e+00
2.445870658748990e-02	3.190801e+00
2.446870658748990e-02	3.190803e+00
2.447870658748990e-02	3.190801e+00
2.448870658748990e-02	3.190803e+00
2.449870658748990e-02	3.190801e+00
2.450870658748991e-02	3.190803e+00
2.451870658748991e-02	3.190801e+00
2.452870658748990e-02	3.190803e+00
2.453870658748990e-02	3.190801e+00
2.454870658748990e-02	3.190803e+00
2.455870658748990e-02	3.190801e+00
2.456870658748990e-02	3.190803e+00
2.457870658748990e-02	3.190801e+00
2.458870658748990e-02	3.190803e+00
2.459870658748991e-02	3.190801e+00
2.460870658748990e-02	3.190803e+00
2.461870658748990e-02	3.190801e+00
2.462870658748990e-02	3.190803e+00
2.463870658748990e-02	3.190801e+00
2.464870658748990e-02	3.190803e+00
2.465870658748990e-02	3.190801e+00
2.466870658748990e-02	3.190803e+00
2.467870658748991e-02	3.190801e+00
2.468870658748991e-02	3.190803e+00
2.469870658748990e-02	3.190801e+00
2.470870658748990e-02	3.190803e+00
2.471870658748990e-02	3.190801e+00
2.472870658748990e-02	3.190803e+00
2.473870658748990e-02	3.190801e+00
2.474870658748990e-02	3.190803e+00
2.475870658748990e-02	3.190801e+00
2.476870658748991e-02	3.190803e+00
2.477870658748990e-02	3.190801e+00
2.478870658748990e-02	3.190803e+00
2.479870658748990e-02	3.190801e+00
2.480870658748990e-02	3.190803e+00
2.481870658748990e-02	3.190801e+00
2.482870658748990e-02	3.190803e+00
2.483870658748990e-02	3.190801e+00
2.484870658748991e-02	3.190803e+00
2.485870658748991e-02	3.190801e+00
2.486870658748990e-02	3.190803e+00
2.487870658748990e-02	3.190801e+00
2.488870658748990e-02	3.190803e+00
2.489870658748990e-02	3.190801e+00
2.490870658748990e-02	3.190803e+00
2.491870658748990e-02	3.190801e+00
2.492870658748990e-02	3.190803e+00
2.493870658748991e-02	3.190801e+00
2.494870658748990e-02	3.190803e+00
2.495870658748990e-02	3.190801e+00
2.496870658748990e-02	3.190803e+00
2.497870658748990e-02	3.190801e+00
2.498870658748990e-02	3.190803e+00
2.499870658748990e-02	3.190801e+00
2.500870658748990e-02	3.190803e+00
2.501870658748991e-02	3.190801e+00
2.502870658748991e-02	3.190803e+00
2.503870658748990e-02	3.190801e+00
2.504870658748990e-02	3.190803e+00
2.505870658748990e-02	3.190801e+00
2.506870658748990e-02	3.190803e+00
2.507870658748990e-02	3.190801e+00
2.508870658748990e-02	3.190803e+00
2.509870658748990e-02	3.190801e+00
2.510870658748991e-02	3.190803e+00
2.511870658748991e-02	3.190801e+00
2.512870658748990e-02	3.190803e+00
2.513870658748990e-02	3.190801e+00
2.514870658748990e-02	3.190803e+00
2.515870658748990e-02	3.190801e+00
2.516870658748990e-02	3.190803e+00
2.517870658748990e-02	3.190801e+00
2.518870658748991e-02	3.190803e+00
2.519870658748991e-02	3.190801e+00
2.520870658748990e-02	3.190803e+00
2.521870658748990e-02	3.190801e+00
2.522870658748990e-02	3.190803e+00
2.523870658748990e-02	3.190801e+00
2.524870658748990e-02	3.190803e+00
