config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,8.07191227824029e-05,2.4290648,2.4290648,0.017742466,0.017742466,6.0828676,6.0858674,0.0033379028739642753
3.0,8.412038347932012e-05,4.6040144,4.6040144,0.009327094,0.009327094,6.03723,6.041023,0.0034472311860281797
3.0,8.671447101250349e-05,7.621197,7.621197,0.0063165776,0.0063165776,5.987967,5.993503,0.0035326717318544935
3.0,8.888177476892677e-05,13.987255,13.987255,-0.007426788,-0.007426788,5.9258046,5.933549,0.003610102301946777
3.0,9.111880853427469e-05,21.759201,21.759201,-0.017238347,-0.017238347,5.831448,5.840242,0.003685805976429409
3.0,9.332747040390631e-05,29.925615,29.925615,-0.03404568,-0.03404568,5.70025,5.7131753,0.0037758477435099404
3.0,9.664852081793765e-05,41.459957,41.459957,-0.051019266,-0.051019266,5.4411597,5.4573607,0.003874916063837228
3.0,0.0001000000019999994,49.68891,49.68891,-0.06986146,-0.06986146,5.134051,5.134051,0.003919086245824172
3.0,0.00010000001799999939,49.68903,49.68903,-0.06991369,-0.06991369,5.134049,5.1340494,0.003919086878427237
3.0,0.0001000000499999994,49.68904,49.68904,-0.06983738,-0.06983738,5.1340456,5.1340456,0.003919088143631577
3.0,0.0001000001139999994,49.68919,49.68919,-0.0699157,-0.0699157,5.134039,5.134039,0.003919094047903478
3.0,0.0001000004979999994,49.690166,49.690166,-0.06954024,-0.06954024,5.1339984,5.133999,0.003919105856262028
3.0,0.0001000010099999994,49.691486,49.691486,-0.06893175,-0.06893175,5.133945,5.1339455,0.003919134542211424
3.0,0.0001000026746908899,49.694695,49.694695,-0.068442635,-0.068442635,5.1337714,5.1337714,0.003919171822570374
3.0,0.00010000383902652874,49.69666,49.69666,-0.0684767,-0.0684767,5.1336493,5.1336493,0.003919657416687173
3.0,0.00010003952583774662,49.753315,49.753315,-0.06853394,-0.06853394,5.1299167,5.1299167,0.003920596552411813
3.0,0.0001000752126489645,49.809246,49.809246,-0.068730585,-0.068730585,5.1261783,5.1261797,0.003927662015042042
3.0,0.00010057727910437471,50.50968,50.50968,-0.0703817,-0.0703817,5.073146,5.073233,0.003941506812463848
3.0,0.00010115106933912925,51.099743,51.099743,-0.07215636,-0.07215636,5.011862,5.012028,0.003963126876923164
3.0,0.00010229864980863832,51.497066,51.497066,-0.07447315,-0.07447315,4.8891406,4.8885937,0.003996065894625736
3.0,0.00010390735451930617,49.66679,49.66679,-0.074812666,-0.074812666,4.7198787,4.7181263,0.0040250219775218605
3.0,0.00010489922509407891,46.00381,46.00381,-0.07169934,-0.07169934,4.620162,4.6186223,0.0040417257430126015
3.0,0.00010547293258724168,41.403572,41.403572,-0.066830516,-0.066830516,4.5672584,4.565876,0.004053455233862836
3.0,0.00010602416531867863,36.261295,36.261295,-0.061246406,-0.061246406,4.5216336,4.5205917,0.004063601969024853
3.0,0.00010646574150970468,32.895496,32.895496,-0.057708215,-0.057708215,4.488788,4.488078,0.004072668154960461
3.0,0.00010692421217812301,29.949177,29.949177,-0.0545482,-0.0545482,4.4583964,4.457234,0.004086334327086009
3.0,0.00010784115351495964,25.292757,25.292757,-0.049726266,-0.049726266,4.405284,4.4025564,0.004109194503430286
3.0,0.00010928159833996462,20.232178,20.232178,-0.044472557,-0.044472557,4.333639,4.330737,0.00413550262813222
