Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
1739,1739000.000us,5840,2640,3200
1740,1740000.000us,5840,2800,3040
1741,1741000.000us,5840,2800,3040
1742,1742000.000us,5920,2800,3120
1743,1743000.000us,5760,2720,3040
1744,1744000.000us,5920,2800,3120
1745,1745000.000us,5840,2800,3040
1746,1746000.000us,5920,2800,3120
1747,1747000.000us,5840,2720,3120
1748,1748000.000us,5840,2800,3040
1749,1749000.000us,5840,2800,3040
1750,1750000.000us,5920,2800,3120
1751,1751000.000us,5840,2720,3120
1752,1752000.000us,5920,2720,3200
1753,1753000.000us,5760,2720,3040
1754,1754000.000us,5920,2800,3120
1755,1755000.000us,5760,2720,3040
1756,1756000.000us,5840,2720,3120
1757,1757000.000us,5840,2800,3040
1758,1758000.000us,5920,2800,3120
1759,1759000.000us,5840,2720,3120
1760,1760000.000us,5840,2800,3040
1761,1761000.000us,5840,2800,3040
1762,1762000.000us,5920,2880,3040
1763,1763000.000us,5760,2720,3040
1764,1764000.000us,5840,2800,3040
1765,1765000.000us,5920,2800,3120
1766,1766000.000us,5920,2880,3040
1767,1767000.000us,5760,2640,3120
1768,1768000.000us,5840,2800,3040
1769,1769000.000us,5920,2800,3120
1770,1770000.000us,5920,2800,3120
1771,1771000.000us,5840,2640,3200
1772,1772000.000us,5840,2800,3040
1773,1773000.000us,5920,2720,3200
1774,1774000.000us,5920,2800,3120
1775,1775000.000us,5840,2720,3120
1776,1776000.000us,5840,2720,3120
1777,1777000.000us,5840,2800,3040
1778,1778000.000us,5920,2800,3120
1779,1779000.000us,5840,2720,3120
1780,1780000.000us,5920,2800,3120
1781,1781000.000us,5840,2720,3120
1782,1782000.000us,5920,2800,3120
1783,1783000.000us,5840,2720,3120
1784,1784000.000us,5840,2800,3040
1785,1785000.000us,5840,2800,3040
1786,1786000.000us,5920,2800,3120
1787,1787000.000us,5760,2720,3040
1788,1788000.000us,5840,2800,3040
1789,1789000.000us,5920,2720,3200
1790,1790000.000us,5920,2800,3120
1791,1791000.000us,5760,2720,3040
1792,1792000.000us,5840,2800,3040
1793,1793000.000us,5760,2800,2960
1794,1794000.000us,5920,2800,3120
1795,1795000.000us,5760,2640,3120
1796,1796000.000us,5840,2720,3120
1797,1797000.000us,5920,2720,3200
1798,1798000.000us,5920,2800,3120
1799,1799000.000us,5840,2720,3120
1800,1800000.000us,5920,2800,3120
1801,1801000.000us,5840,2800,3040
1802,1802000.000us,5920,2800,3120
1803,1803000.000us,5840,2720,3120
1804,1804000.000us,5920,2800,3120
1805,1805000.000us,5840,2720,3120
1806,1806000.000us,5920,2800,3120
1807,1807000.000us,5760,2720,3040
1808,1808000.000us,5840,2720,3120
1809,1809000.000us,5920,2800,3120
1810,1810000.000us,5920,2800,3120
1811,1811000.000us,5760,2720,3040
1812,1812000.000us,5920,2800,3120
1813,1813000.000us,5920,2720,3200
1814,1814000.000us,5920,2800,3120
1815,1815000.000us,5840,2720,3120
1816,1816000.000us,5840,2800,3040
1817,1817000.000us,5840,2800,3040
1818,1818000.000us,5920,2800,3120
1819,1819000.000us,5840,2720,3120
1820,1820000.000us,5840,2800,3040
1821,1821000.000us,5840,2800,3040
1822,1822000.000us,5920,2880,3040
1823,1823000.000us,5760,2720,3040
1824,1824000.000us,5760,2880,2880
