config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,0.0001804420157550432,7.07959,7.07959,-68.0692,-68.0692,3.3634236,3.3632364,0.005897961564108114
2.0,0.00018091980542041402,6.2902517,6.2902517,-61.38259,-61.38259,3.3555741,3.35523,0.005906030516503686
2.0,0.00018187538475115565,4.926565,4.926565,-48.381504,-48.381504,3.342365,3.341287,0.005921532446013295
2.0,0.0001836959886319179,2.8585699,2.8585699,-26.39068,-26.39068,3.3227437,3.3209972,0.00594179374698201
2.0,0.000185547632622627,1.132804,1.132804,-9.769245,-9.769245,3.3089607,3.3074143,0.005961743338910828
2.0,0.0001873417128050586,-0.5249179,-0.5249179,-1.065927,-1.065927,3.3015275,3.3003464,0.005979598726931859
2.0,0.0001888249978418102,-1.7750385,-1.7750385,0.0067526367,0.0067526367,3.298969,3.298824,0.005989318671475637
2.0,0.00018912802098788683,-1.709374,-1.709374,0.006426585,0.006426585,3.2988613,3.2988672,0.005992387747714555
2.0,0.000189389036393244,-1.6878499,-1.6878499,0.0066481372,0.0066481372,3.2988825,3.298885,0.005995759152711823
2.0,0.00018974761456759675,-1.6751803,-1.6751803,0.0063801263,0.0063801263,3.2988954,3.298897,0.006000917558455118
2.0,0.000190337036037194,-1.6708446,-1.6708446,0.006615755,0.006615755,3.2989063,3.2989073,0.006008768766085673
2.0,0.000191190481731903,-1.6697822,-1.6697822,0.0063535217,0.0063535217,3.2989168,3.298917,0.006021025422349457
2.0,0.00019258950708802745,-1.6702036,-1.6702036,0.0065822164,0.0065822164,3.2989323,3.2989326,0.006043646470816323
2.0,0.0001953476336036793,-1.6691728,-1.6691728,0.0062908744,0.0062908744,3.298961,3.2989614,0.0060732675945905125
2.0,0.00019803299354632947,-1.6694071,-1.6694071,0.00649845,0.00649845,3.2989872,3.2989876,0.00610346349020816
2.0,0.00020089665732887194,-1.6684358,-1.6684358,0.0062040314,0.0062040314,3.2990134,3.2990136,0.0061334841080323416
2.0,0.00020354971957691758,-1.6687165,-1.6687165,0.006411338,0.006411338,3.299036,3.2990363,0.006164686663315942
2.0,0.00020663050308748288,-1.6677773,-1.6677773,0.006113201,0.006113201,3.2990608,3.299061,0.006198700620907908
2.0,0.0002098001008093586,-1.6680455,-1.6680455,0.0063122907,0.0063122907,3.2990844,3.2990847,0.006238235653138781
2.0,0.00021389532872559197,-1.667064,-1.667064,0.0059984457,0.0059984457,3.2991126,3.299113,0.006285329168159223
2.0,0.000218453699935724,-1.6672666,-1.6672666,0.0061762566,0.0061762566,3.2991414,3.2991421,0.006342872069935852
2.0,0.00022446885397160162,-1.6662098,-1.6662098,0.0058336337,0.0058336337,3.2991755,3.2991765,0.0064148541573589325
2.0,0.00023168015481160736,-1.6663142,-1.6663142,0.005972271,0.005972271,3.2992115,3.2992132,0.006508524965047402
2.0,0.00024168015481160736,-1.6651314,-1.6651314,0.0055723297,0.0055723297,3.2992551,3.299257,0.0066173758707191175
2.0,0.0002516801548116074,-1.6652242,-1.6652242,0.0056737177,0.0056737177,3.2992926,3.2992942,0.006726229244395657
2.0,0.00026168015481160736,-1.6641833,-1.6641833,0.005279853,0.005279853,3.2993252,3.2993262,0.0068350847414876655
2.0,0.0002716801548116074,-1.6643807,-1.6643807,0.005387297,0.005387297,3.2993531,3.2993543,0.006943942091911597
2.0,0.00028168015481160735,-1.663424,-1.663424,0.004999486,0.004999486,3.2993782,3.2993789,0.007052801072150035
2.0,0.0002916801548116074,-1.6636857,-1.6636857,0.0051129335,0.0051129335,3.2993999,3.2994006,0.007161661486625238
2.0,0.00030168015481160735,-1.6627842,-1.6627842,0.0047311042,0.0047311042,3.2994194,3.2994199,0.007270523186325594
2.0,0.0003116801548116074,-1.6630894,-1.6630894,0.004850464,0.004850464,3.2994366,3.2994373,0.0073793860222394906
2.0,0.00032168015481160735,-1.6622272,-1.6622272,0.004474506,0.004474506,3.2994523,3.2994528,0.007488249891921445
2.0,0.0003316801548116074,-1.662564,-1.662564,0.0045996537,0.0045996537,3.299467,3.299467,0.007597114720865651
2.0,0.00034168015481160735,-1.6619476,-1.6619476,0.004229686,0.004229686,3.299482,3.2994819,0.007705980537011786
2.0,0.0003516801548116074,-1.6623108,-1.6623108,0.004360495,0.004360495,3.2994983,3.299498,0.007814847414865657
2.0,0.00036168015481160735,-1.6615491,-1.6615491,0.0039959284,0.0039959284,3.299514,3.299514,0.007923715345114036
2.0,0.0003716801548116074,-1.6618524,-1.6618524,0.004132127,0.004132127,3.2995293,3.2995293,0.008032584281190795
2.0,0.00038168015481160735,-1.6610651,-1.6610651,0.0037729149,0.0037729149,3.2995431,3.2995434,0.008141454139276905
2.0,0.00039168015481160737,-1.6613681,-1.6613681,0.003914388,0.003914388,3.299556,3.2995563,0.008250324844866557
2.0,0.00040168015481160734,-1.6605902,-1.6605902,0.0035603852,0.0035603852,3.2995677,3.2995677,0.00835919631414072
2.0,0.00041168015481160737,-1.6609098,-1.6609098,0.0037069656,0.0037069656,3.2995782,3.2995782,0.008468068472593588
2.0,0.00042168015481160734,-1.660149,-1.660149,0.0033579941,0.0033579941,3.2995877,3.2995877,0.008576941264345809
2.0,0.00043168015481160737,-1.6604878,-1.6604878,0.0035094954,0.0035094954,3.2995963,3.2995963,0.008685814624204797
2.0,0.00044168015481160734,-1.659745,-1.659745,0.0031653652,0.0031653652,3.299604,3.299604,0.008794688486977977
2.0,0.00045168015481160737,-1.660102,-1.660102,0.0033215957,0.0033215957,3.2996109,3.299611,0.008903562815412444
2.0,0.00046168015481160734,-1.6593759,-1.6593759,0.0029821142,0.0029821142,3.2996173,3.2996173,0.009012437553628846
2.0,0.00047168015481160736,-1.6597493,-1.6597493,0.0031428812,0.0031428812,3.299623,3.299623,0.009121312673687501
2.0,0.00048168015481160734,-1.6590381,-1.6590381,0.0028078568,0.0028078568,3.2996283,3.2996283,0.00923018813833551
