Save Time: 2026-02-13 12:59:23,,,,,,
Units:(mV),,,,,,
,,CH2,,,CH1,
Frequency:,,?,,,1.000 Hz,
Period:,,?,,,1000.000 mS,
SP:,,2000.000 uS,,,2000.000 uS,
PK-PK:,,3.400 V,,,3.520 V,
,,CH1,ch2,,,math
702,,0,3320,,1402000,3320
703,,80,3320,,1404000,3240
704,,80,3320,,1406000,3240
705,,80,3320,,1408000,3240
706,,0,3280,,1410000,3280
707,,80,3320,,1412000,3240
708,,80,3320,,1414000,3240
709,,80,3320,,1416000,3240
710,,0,3320,,1418000,3320
711,,80,3320,,1420000,3240
712,,160,3320,,1422000,3160
713,,80,3280,,1424000,3200
714,,160,3360,,1426000,3200
715,,80,3280,,1428000,3200
716,,80,3320,,1430000,3240
717,,80,3320,,1432000,3240
718,,80,3320,,1434000,3240
719,,80,3280,,1436000,3200
720,,160,3320,,1438000,3160
721,,80,3320,,1440000,3240
722,,80,3320,,1442000,3240
723,,80,3320,,1444000,3240
724,,80,3320,,1446000,3240
725,,80,3280,,1448000,3200
726,,160,3320,,1450000,3160
727,,80,3320,,1452000,3240
728,,80,3320,,1454000,3240
729,,80,3320,,1456000,3240
730,,80,3320,,1458000,3240
731,,80,3320,,1460000,3240
732,,80,3280,,1462000,3200
733,,80,3280,,1464000,3200
734,,80,3280,,1466000,3200
735,,80,3320,,1468000,3240
736,,80,3320,,1470000,3240
737,,0,3320,,1472000,3320
738,,80,3320,,1474000,3240
739,,160,3320,,1476000,3160
740,,0,3320,,1478000,3320
741,,80,3320,,1480000,3240
742,,80,3320,,1482000,3240
743,,80,3320,,1484000,3240
744,,80,3320,,1486000,3240
745,,80,3320,,1488000,3240
746,,80,3320,,1490000,3240
747,,80,3320,,1492000,3240
748,,80,3320,,1494000,3240
749,,80,3280,,1496000,3200
750,,80,3320,,1498000,3240
751,,80,3320,,1500000,3240
752,,80,3280,,1502000,3200
753,,80,3320,,1504000,3240
754,,80,3280,,1506000,3200
755,,0,3320,,1508000,3320
756,,80,3320,,1510000,3240
757,,80,3320,,1512000,3240
758,,80,3320,,1514000,3240
759,,160,3320,,1516000,3160
760,,160,3320,,1518000,3160
