Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
1210,1209000,80,3280
1211,1210000,80,3200
1212,1211000,80,3280
1213,1212000,160,3200
1214,1213000,160,3280
1215,1214000,0,3200
1216,1215000,160,3280
1217,1216000,80,3200
1218,1217000,160,3280
1219,1218000,80,3200
1220,1219000,80,3280
1221,1220000,80,3200
1222,1221000,80,3280
1223,1222000,80,3200
1224,1223000,80,3200
1225,1224000,80,3280
1226,1225000,160,3280
1227,1226000,0,3200
1228,1227000,0,3200
1229,1228000,80,3200
1230,1229000,160,3280
1231,1230000,80,3200
1232,1231000,80,3280
1233,1232000,80,3280
1234,1233000,80,3280
1235,1234000,0,3200
1236,1235000,80,3280
1237,1236000,80,3200
1238,1237000,80,3280
1239,1238000,0,3200
1240,1239000,80,3280
1241,1240000,80,3280
1242,1241000,160,3280
1243,1242000,0,3200
1244,1243000,0,3200
1245,1244000,80,3280
1246,1245000,160,3280
1247,1246000,80,3200
1248,1247000,80,3280
1249,1248000,80,3280
1250,1249000,160,3280
1251,1250000,0,3200
1252,1251000,80,3280
1253,1252000,80,3280
1254,1253000,160,3280
1255,1254000,0,3200
1256,1255000,80,3280
1257,1256000,160,3280
1258,1257000,160,3280
1259,1258000,0,3200
1260,1259000,80,3200
1261,1260000,80,3280
1262,1261000,80,3280
1263,1262000,0,3200
1264,1263000,0,3200
1265,1264000,80,3280
1266,1265000,160,3280
1267,1266000,80,3200
1268,1267000,80,3280
1269,1268000,80,3280
1270,1269000,160,3280
1271,1270000,80,3200
1272,1271000,160,3280
1273,1272000,80,3280
1274,1273000,160,3280
1275,1274000,0,3200
1276,1275000,160,3280
1277,1276000,80,3200
1278,1277000,160,3280
1279,1278000,80,3200
1280,1279000,80,3200
1281,1280000,80,3280
1282,1281000,160,3280
1283,1282000,80,3200
1284,1283000,80,3280
1285,1284000,80,3200
1286,1285000,160,3280
1287,1286000,0,3200
1288,1287000,80,3200
1289,1288000,80,3200
1290,1289000,80,3280
1291,1290000,0,3200
1292,1291000,80,3280
1293,1292000,80,3280
1294,1293000,80,3280
1295,1294000,0,3200
1296,1295000,80,3200
1297,1296000,160,3200
1298,1297000,160,3280
1299,1298000,0,3200
1300,1299000,80,3280
1301,1300000,80,3280
1302,1301000,160,3280
1303,1302000,0,3200
1304,1303000,80,3280
