Save Time: 2026-07-14 15:23:55,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.423 Hz,
Period:,351.500 mS,702.667 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.440 V,
,,,
694,693000,80,3200
695,694000,160,3280
696,695000,0,3200
697,696000,80,3200
698,697000,80,3280
699,698000,160,3280
700,699000,0,3120
701,700000,160,3280
702,701000,80,3200
703,702000,160,3280
704,703000,0,3200
705,704000,80,3280
706,705000,80,3280
707,706000,160,3280
708,707000,0,3200
709,708000,160,3280
710,709000,0,3200
711,710000,160,3280
712,711000,0,3200
713,712000,80,3280
714,713000,80,3200
715,714000,80,3280
716,715000,0,3200
717,716000,80,3280
718,717000,80,3200
719,718000,160,3280
720,719000,0,0
721,720000,0,80
722,721000,80,80
723,722000,240,80
724,723000,80,0
725,724000,80,0
726,725000,80,0
727,726000,160,80
728,727000,80,0
729,728000,160,80
730,729000,80,80
731,730000,160,80
732,731000,0,0
733,732000,160,80
734,733000,80,80
735,734000,160,80
736,735000,80,0
737,736000,80,0
738,737000,80,80
739,738000,80,80
740,739000,0,0
741,740000,80,80
742,741000,160,0
743,742000,160,80
744,743000,0,0
745,744000,80,0
746,745000,80,80
747,746000,160,80
748,747000,80,0
749,748000,80,0
750,749000,80,80
751,750000,160,80
752,751000,80,0
753,752000,80,80
754,753000,80,0
755,754000,160,80
756,755000,0,0
757,756000,80,80
758,757000,80,80
759,758000,80,80
760,759000,80,0
761,760000,80,0
762,761000,160,80
763,762000,3520,80
764,763000,0,0
765,764000,3520,80
766,765000,3440,80
767,766000,3520,80
768,767000,3440,0
769,768000,3520,80
770,769000,3520,80
771,770000,3520,80
772,771000,3440,0
773,772000,3440,80
774,773000,3440,80
775,774000,3520,80
776,775000,3440,80
777,776000,3440,80
778,777000,3440,80
779,778000,3520,80
780,779000,3440,80
781,780000,3440,80
782,781000,3520,0
783,782000,3520,80
784,783000,3440,0
785,784000,3520,80
786,785000,3440,80
787,786000,3520,80
788,787000,3360,0
789,788000,3440,80
790,789000,3520,80
791,790000,3520,80
792,791000,3440,0
793,792000,3520,80
794,793000,3440,80
795,794000,3520,80
796,795000,3440,0
797,796000,3520,80
798,797000,3440,0
799,798000,3520,80
800,799000,3440,0
801,800000,3440,80
802,801000,3440,80
803,802000,3520,80
804,803000,3360,0
805,804000,3360,0
806,805000,3440,80
807,806000,3520,80
808,807000,3360,0
809,808000,3440,80
810,809000,3440,80
811,810000,3520,80
812,811000,3440,0
813,812000,3440,80
814,813000,3440,80
815,814000,3520,80
816,815000,3360,0
817,816000,3360,80
818,817000,3520,80
819,818000,3520,80
820,819000,3440,0
821,820000,3520,80
822,821000,3440,80
823,822000,3440,80
824,823000,3440,0
825,824000,3440,80
826,825000,3440,80
827,826000,3440,80
828,827000,3360,0
829,828000,3440,80
830,829000,3360,160
831,830000,3520,160
832,831000,3360,0
833,832000,3440,80
834,833000,3440,80
835,834000,3520,80
836,835000,3440,0
837,836000,3520,80
838,837000,3440,80
839,838000,3520,160
840,839000,3360,0
841,840000,3440,0
842,841000,3440,80
843,842000,3520,80
844,843000,3440,0
845,844000,3440,80
846,845000,3440,0
847,846000,3520,80
848,847000,3440,0
849,848000,3440,80
850,849000,3520,160
851,850000,3520,160
852,851000,3440,0
853,852000,3520,80
854,853000,3440,80
855,854000,3440,80
856,855000,3440,0
857,856000,3440,0
858,857000,3440,80
859,858000,3520,80
860,859000,3440,0
861,860000,3440,0
862,861000,3440,0
863,862000,3440,80
864,863000,3440,0
865,864000,3440,80
866,865000,3520,80
867,866000,3520,80
868,867000,3440,0
869,868000,3440,80
870,869000,3440,0
871,870000,3520,80
872,871000,3360,0
873,872000,3440,0
874,873000,3440,80
875,874000,3440,80
876,875000,3360,0
877,876000,3440,80
878,877000,3440,80
879,878000,3520,80
880,879000,3440,0
881,880000,3440,0
882,881000,3520,80
883,882000,3520,80
884,883000,3360,0
885,884000,3440,80
886,885000,3440,80
887,886000,3520,80
888,887000,3440,0
889,888000,3520,80
