Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
2332,2332000.000us,3440,80
2333,2333000.000us,3520,80
2334,2334000.000us,3520,80
2335,2335000.000us,3360,0
2336,2336000.000us,3440,80
2337,2337000.000us,3360,80
2338,2338000.000us,3520,80
2339,2339000.000us,3360,0
2340,2340000.000us,3440,0
2341,2341000.000us,3520,80
2342,2342000.000us,3520,80
2343,2343000.000us,3440,0
2344,2344000.000us,3520,80
2345,2345000.000us,3440,80
2346,2346000.000us,3520,80
2347,2347000.000us,3440,0
2348,2348000.000us,3440,80
2349,2349000.000us,3440,80
2350,2350000.000us,3520,80
2351,2351000.000us,3360,0
2352,2352000.000us,3440,0
2353,2353000.000us,3440,80
2354,2354000.000us,3520,80
2355,2355000.000us,3440,0
2356,2356000.000us,3440,0
2357,2357000.000us,3440,0
2358,2358000.000us,3440,80
2359,2359000.000us,3440,0
2360,2360000.000us,3440,0
2361,2361000.000us,3520,80
2362,2362000.000us,3520,80
2363,2363000.000us,3440,0
2364,2364000.000us,3440,80
2365,2365000.000us,3440,80
2366,2366000.000us,3520,80
2367,2367000.000us,3440,0
2368,2368000.000us,3440,80
2369,2369000.000us,3440,80
2370,2370000.000us,3440,80
2371,2371000.000us,3440,0
2372,2372000.000us,3440,0
2373,2373000.000us,3440,0
2374,2374000.000us,3520,80
2375,2375000.000us,3360,0
2376,2376000.000us,3440,0
2377,2377000.000us,3440,0
2378,2378000.000us,3440,80
2379,2379000.000us,3360,0
2380,2380000.000us,3440,80
2381,2381000.000us,3440,80
2382,2382000.000us,3520,80
2383,2383000.000us,3440,0
2384,2384000.000us,3440,0
2385,2385000.000us,3360,0
2386,2386000.000us,3440,80
2387,2387000.000us,3360,0
2388,2388000.000us,3440,80
2389,2389000.000us,3440,80
2390,2390000.000us,3520,80
2391,2391000.000us,3360,0
2392,2392000.000us,3440,0
2393,2393000.000us,3520,0
2394,2394000.000us,3520,80
2395,2395000.000us,3360,0
2396,2396000.000us,3440,80
2397,2397000.000us,3440,80
2398,2398000.000us,3440,80
2399,2399000.000us,3440,0
2400,2400000.000us,3440,0
2401,2401000.000us,3440,80
2402,2402000.000us,3520,80
2403,2403000.000us,3440,0
2404,2404000.000us,3520,0
2405,2405000.000us,3440,0
2406,2406000.000us,3520,80
2407,2407000.000us,3440,0
2408,2408000.000us,3520,0
2409,2409000.000us,3440,80
2410,2410000.000us,3520,160
2411,2411000.000us,3440,0
2412,2412000.000us,3440,80
2413,2413000.000us,3440,80
2414,2414000.000us,3520,80
2415,2415000.000us,3360,0
2416,2416000.000us,3440,80
2417,2417000.000us,3360,0
2418,2418000.000us,3520,80
2419,2419000.000us,3360,0
2420,2420000.000us,3520,0
2421,2421000.000us,3440,80
2422,2422000.000us,3520,80
2423,2423000.000us,3360,0
2424,2424000.000us,3520,80
2425,2425000.000us,3440,80
2426,2426000.000us,3520,80
2427,2427000.000us,3360,0
2428,2428000.000us,3440,80
2429,2429000.000us,3440,0
2430,2430000.000us,3520,80
2431,2431000.000us,80,-80
2432,2432000.000us,80,0
2433,2433000.000us,80,0
2434,2434000.000us,80,80
2435,2435000.000us,0,0
2436,2436000.000us,80,80
2437,2437000.000us,80,80
2438,2438000.000us,160,80
2439,2439000.000us,0,0
2440,2440000.000us,80,80
2441,2441000.000us,80,80
2442,2442000.000us,80,80
2443,2443000.000us,0,0
2444,2444000.000us,80,0
2445,2445000.000us,80,0
2446,2446000.000us,80,80
2447,2447000.000us,80,0
2448,2448000.000us,80,0
2449,2449000.000us,80,0
2450,2450000.000us,80,80
2451,2451000.000us,0,0
2452,2452000.000us,80,0
2453,2453000.000us,0,0
2454,2454000.000us,80,80
2455,2455000.000us,0,0
2456,2456000.000us,80,80
2457,2457000.000us,80,0
2458,2458000.000us,80,80
2459,2459000.000us,0,0
2460,2460000.000us,80,80
2461,2461000.000us,0,0
