Save Time: 2026-07-14 15:24:45,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,?,
Period:,351.500 mS,?,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,800.000 mV,
,,,
768,767000,3520,-480
769,768000,3440,-480
770,769000,3520,-400
771,770000,3360,-560
772,771000,3360,-560
773,772000,3520,-400
774,773000,3520,-400
775,774000,3440,-560
776,775000,3440,-560
777,776000,3520,-560
778,777000,3520,-480
779,778000,3440,-560
780,779000,3440,-480
781,780000,3440,-480
782,781000,3520,-480
783,782000,3440,-560
784,783000,3440,-480
785,784000,3440,-480
786,785000,3520,-400
787,786000,3440,-560
788,787000,3440,-560
789,788000,3440,-560
790,789000,3520,-400
791,790000,3440,-560
792,791000,3520,-400
793,792000,3360,-480
794,793000,3520,-480
795,794000,3360,-560
796,795000,3440,-480
797,796000,3440,-560
798,797000,3520,-400
799,798000,3440,-560
800,799000,3440,-560
801,800000,3440,-480
802,801000,3520,-480
803,802000,3440,-560
804,803000,3440,-480
805,804000,3440,-480
806,805000,3520,-480
807,806000,3440,-560
808,807000,3440,-560
809,808000,3440,-480
810,809000,3520,-400
811,810000,3360,-560
812,811000,3520,-560
813,812000,3440,-480
814,813000,3520,-400
815,814000,3440,-560
816,815000,3440,-480
817,816000,3440,-480
818,817000,3440,-480
819,818000,3440,-560
820,819000,3440,-480
821,820000,3520,-480
822,821000,3520,-480
823,822000,3360,-560
824,823000,3520,-560
825,824000,3520,-480
826,825000,3520,-480
827,826000,3440,-560
828,827000,3440,-560
829,828000,3440,-480
830,829000,3520,-400
831,830000,3360,-560
832,831000,3440,-480
833,832000,3440,-480
834,833000,3520,-480
835,834000,3360,-560
836,835000,3360,-480
837,836000,3520,-480
838,837000,3520,-480
839,838000,3440,-560
840,839000,3520,-480
841,840000,3520,-480
842,841000,3520,-400
843,842000,3360,-560
844,843000,3520,-480
845,844000,3440,-480
846,845000,3520,-480
847,846000,3360,-560
848,847000,3440,-480
849,848000,3520,-400
850,849000,3520,-400
851,850000,3440,-560
852,851000,3440,-560
853,852000,3520,-400
854,853000,3600,-400
855,854000,3440,-560
856,855000,3440,-480
857,856000,3440,-480
858,857000,3520,-480
859,858000,3440,-560
860,859000,3440,-480
861,860000,3440,-480
862,861000,3520,-480
863,862000,3440,-560
864,863000,3520,-560
865,864000,3440,-480
866,865000,3520,-480
867,866000,3360,-560
868,867000,3440,-560
869,868000,3520,-480
870,869000,3520,-480
871,870000,3440,-480
872,871000,3520,-480
873,872000,3440,-560
874,873000,3520,-480
875,874000,3360,-560
876,875000,3520,-560
877,876000,3440,-480
878,877000,3520,-480
879,878000,3440,-560
880,879000,3440,-480
881,880000,3520,-480
882,881000,3520,-480
883,882000,3440,-560
884,883000,3440,-480
885,884000,3440,-560
886,885000,3520,-480
887,886000,3440,-560
888,887000,3520,-560
889,888000,3440,-480
890,889000,3440,-480
891,890000,3360,-560
892,891000,3360,-560
893,892000,3520,-560
894,893000,3520,-400
895,894000,3440,-560
896,895000,3440,-480
897,896000,3440,-480
898,897000,3520,-480
899,898000,3440,-560
900,899000,3440,-480
901,900000,3520,-480
902,901000,3520,-480
903,902000,3360,-560
904,903000,3520,-480
905,904000,3520,-480
906,905000,3520,-480
907,906000,3440,-560
908,907000,3440,-560
909,908000,3440,-480
910,909000,3520,-480
911,910000,3360,-560
912,911000,3440,-480
913,912000,3440,-480
914,913000,3520,-480
915,914000,3360,-560
916,915000,3520,-480
917,916000,3440,-560
918,917000,3520,-480
919,918000,3440,-560
920,919000,3440,-480
921,920000,3440,-480
922,921000,3520,-400
923,922000,3360,-560
924,923000,3360,-400
925,924000,3360,-480
926,925000,3520,-400
927,926000,3360,-560
928,927000,3520,-480
929,928000,3440,-480
930,929000,3520,-400
931,930000,3440,-560
932,931000,3440,-480
933,932000,3520,-480
934,933000,3520,-400
935,934000,3440,-560
936,935000,3440,-480
937,936000,3520,-560
938,937000,3520,-400
939,938000,3440,-560
940,939000,3440,-560
941,940000,3440,-560
