time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
3.596749382905465e-06	8.868277e-06
4.648273649558291e-06	9.054058e-06
6.025265709230760e-06	9.226317e-06
7.136825021174180e-06	9.318625e-06
8.210228412367160e-06	9.374569e-06
9.344029540989960e-06	9.410231e-06
1.053081882659777e-05	9.429461e-06
1.172213662153443e-05	9.435195e-06
1.291952725664827e-05	9.431174e-06
1.410971120279852e-05	9.420781e-06
1.529612335921524e-05	9.406890e-06
1.645924139223958e-05	9.391970e-06
1.757087176071009e-05	9.377655e-06
1.868682412189640e-05	9.363672e-06
1.996394562324329e-05	9.348188e-06
2.160065423336838e-05	9.328914e-06
2.342325748129312e-05	9.307878e-06
2.577761321676835e-05	9.280828e-06
2.872299907239454e-05	9.246368e-06
3.217014632311429e-05	9.204369e-06
3.560295929196892e-05	9.159921e-06
3.874616887214540e-05	9.115978e-06
4.220489213883472e-05	9.064301e-06
4.535748325834947e-05	9.015194e-06
4.906967295284291e-05	8.956061e-06
5.289634889670907e-05	8.894645e-06
5.620921553984167e-05	8.841607e-06
5.795238905194493e-05	8.813918e-06
5.823089574602759e-05	8.806733e-06
5.844217686999143e-05	8.791942e-06
5.863525385448214e-05	8.764996e-06
5.888859852566902e-05	8.718273e-06
5.912004678425093e-05	8.673358e-06
5.936580202791234e-05	8.625718e-06
5.972062567078033e-05	8.557177e-06
5.998924922085662e-05	8.505670e-06
6.027888897469087e-05	8.450853e-06
6.055410655767925e-05	8.399699e-06
6.095903685278960e-05	8.326298e-06
6.151158793257051e-05	8.229854e-06
6.207391222823224e-05	8.137730e-06
6.279697778672655e-05	8.030156e-06
6.369592207497347e-05	7.912792e-06
6.470299741094011e-05	7.802240e-06
6.579255203666941e-05	7.709051e-06
6.684234782243640e-05	7.642091e-06
6.747244113893371e-05	7.607875e-06
6.833532630655192e-05	7.562659e-06
6.926647921232271e-05	7.515897e-06
7.033023346947499e-05	7.465579e-06
7.141846271217578e-05	7.418222e-06
7.275057303510489e-05	7.366450e-06
7.443580703398076e-05	7.310292e-06
7.738558795515301e-05	7.227819e-06
8.066336785178416e-05	7.148705e-06
8.259216611540157e-05	7.106798e-06
8.399902049948759e-05	7.078045e-06
8.503932038654680e-05	7.057467e-06
8.589510807369163e-05	7.040939e-06
8.674877367322007e-05	7.024787e-06
8.770329165803046e-05	7.007077e-06
8.861668982947091e-05	6.990468e-06
8.955689854713344e-05	6.973728e-06
9.049280749640653e-05	6.957420e-06
9.143544440843125e-05	6.941363e-06
9.238496751571693e-05	6.925570e-06
9.334541896051501e-05	6.910000e-06
9.432637343805838e-05	6.894536e-06
9.534156764619148e-05	6.879031e-06
9.642022130169522e-05	6.863158e-06
9.761239799811596e-05	6.846412e-06
9.904814678779534e-05	6.827499e-06
1.010646222935380e-04	6.803145e-06
1.034571064865942e-04	6.777309e-06
1.064831866901087e-04	6.748402e-06
1.093184867234061e-04	6.724205e-06
1.122619281334531e-04	6.701336e-06
1.156546263023609e-04	6.676764e-06
1.194574689350288e-04	6.650726e-06
1.242194615993592e-04	6.619628e-06
1.297776162307760e-04	6.584839e-06
1.374419132783087e-04	6.538768e-06
1.468868925202345e-04	6.484093e-06
1.568868925202345e-04	6.428189e-06
1.668868925202345e-04	6.374001e-06
1.768868925202345e-04	6.321296e-06
1.868868925202345e-04	6.269907e-06
1.968868925202345e-04	6.219732e-06
2.068868925202345e-04	6.170702e-06
2.168868925202345e-04	6.122774e-06
2.268868925202345e-04	6.075916e-06
2.368868925202345e-04	6.030105e-06
2.468868925202345e-04	5.985324e-06
2.568868925202344e-04	5.941559e-06
2.668868925202345e-04	5.898798e-06
2.768868925202344e-04	5.857030e-06
2.868868925202345e-04	5.816248e-06
2.968868925202344e-04	5.776444e-06
3.068868925202345e-04	5.737611e-06
3.168868925202344e-04	5.699747e-06
3.268868925202345e-04	5.662847e-06
3.368868925202344e-04	5.629904e-06
