time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
1.521901881688725e-03	3.189317e+00	-3.189371e-01
1.531901881688725e-03	3.189317e+00	-3.189382e-01
1.541901881688725e-03	3.189317e+00	-3.189371e-01
1.551901881688725e-03	3.189317e+00	-3.189382e-01
1.561901881688725e-03	3.189317e+00	-3.189371e-01
1.571901881688725e-03	3.189317e+00	-3.189382e-01
1.581901881688725e-03	3.189317e+00	-3.189371e-01
1.591901881688725e-03	3.189317e+00	-3.189382e-01
1.601901881688725e-03	3.189317e+00	-3.189371e-01
1.611901881688725e-03	3.189317e+00	-3.189382e-01
1.621901881688725e-03	3.189317e+00	-3.189371e-01
1.631901881688725e-03	3.189317e+00	-3.189382e-01
1.641901881688725e-03	3.189317e+00	-3.189371e-01
1.651901881688725e-03	3.189317e+00	-3.189382e-01
1.661901881688725e-03	3.189317e+00	-3.189371e-01
1.671901881688725e-03	3.189317e+00	-3.189382e-01
1.681901881688725e-03	3.189317e+00	-3.189371e-01
1.691901881688725e-03	3.189317e+00	-3.189382e-01
1.701901881688725e-03	3.189317e+00	-3.189371e-01
1.711901881688725e-03	3.189317e+00	-3.189382e-01
1.721901881688725e-03	3.189317e+00	-3.189371e-01
1.731901881688725e-03	3.189317e+00	-3.189382e-01
1.741901881688725e-03	3.189317e+00	-3.189371e-01
1.751901881688725e-03	3.189317e+00	-3.189382e-01
1.761901881688725e-03	3.189317e+00	-3.189371e-01
1.771901881688725e-03	3.189317e+00	-3.189382e-01
1.781901881688725e-03	3.189317e+00	-3.189371e-01
1.791901881688725e-03	3.189317e+00	-3.189382e-01
1.801901881688725e-03	3.189318e+00	-3.189371e-01
1.811901881688725e-03	3.189318e+00	-3.189382e-01
1.821901881688725e-03	3.189318e+00	-3.189371e-01
1.831901881688725e-03	3.189318e+00	-3.189382e-01
1.841901881688725e-03	3.189318e+00	-3.189371e-01
1.851901881688725e-03	3.189318e+00	-3.189382e-01
1.861901881688725e-03	3.189318e+00	-3.189371e-01
1.871901881688725e-03	3.189318e+00	-3.189382e-01
1.881901881688725e-03	3.189318e+00	-3.189371e-01
1.891901881688725e-03	3.189318e+00	-3.189382e-01
1.901901881688725e-03	3.189318e+00	-3.189371e-01
1.911901881688725e-03	3.189317e+00	-3.189382e-01
1.921901881688725e-03	3.189318e+00	-3.189371e-01
1.931901881688725e-03	3.189317e+00	-3.189382e-01
1.941901881688725e-03	3.189318e+00	-3.189371e-01
1.951901881688725e-03	3.189317e+00	-3.189382e-01
1.961901881688725e-03	3.189317e+00	-3.189371e-01
1.971901881688725e-03	3.189317e+00	-3.189382e-01
1.981901881688725e-03	3.189317e+00	-3.189371e-01
1.991901881688725e-03	3.189317e+00	-3.189382e-01
2.001901881688725e-03	3.189317e+00	-3.189371e-01
2.011901881688725e-03	3.189317e+00	-3.189382e-01
2.021901881688725e-03	3.189317e+00	-3.189371e-01
2.031901881688725e-03	3.189317e+00	-3.189382e-01
2.041901881688725e-03	3.189317e+00	-3.189371e-01
2.051901881688725e-03	3.189317e+00	-3.189382e-01
2.061901881688725e-03	3.189317e+00	-3.189371e-01
2.071901881688725e-03	3.189317e+00	-3.189382e-01
2.081901881688725e-03	3.189317e+00	-3.189371e-01
2.091901881688725e-03	3.189317e+00	-3.189382e-01
2.101901881688725e-03	3.189317e+00	-3.189371e-01
2.111901881688725e-03	3.189317e+00	-3.189382e-01
2.121901881688725e-03	3.189317e+00	-3.189371e-01
2.131901881688725e-03	3.189317e+00	-3.189382e-01
2.141901881688725e-03	3.189317e+00	-3.189371e-01
2.151901881688725e-03	3.189317e+00	-3.189382e-01
2.161901881688725e-03	3.189317e+00	-3.189371e-01
2.171901881688725e-03	3.189317e+00	-3.189382e-01
2.181901881688725e-03	3.189317e+00	-3.189371e-01
2.191901881688725e-03	3.189317e+00	-3.189382e-01
2.201901881688725e-03	3.189317e+00	-3.189371e-01
2.211901881688725e-03	3.189317e+00	-3.189382e-01
2.221901881688725e-03	3.189317e+00	-3.189371e-01
2.231901881688725e-03	3.189317e+00	-3.189382e-01
2.241901881688725e-03	3.189317e+00	-3.189371e-01
2.251901881688725e-03	3.189317e+00	-3.189382e-01
2.261901881688725e-03	3.189317e+00	-3.189371e-01
2.271901881688725e-03	3.189317e+00	-3.189382e-01
2.281901881688725e-03	3.189317e+00	-3.189371e-01
2.291901881688725e-03	3.189317e+00	-3.189382e-01
2.301901881688725e-03	3.189317e+00	-3.189371e-01
2.311901881688725e-03	3.189317e+00	-3.189382e-01
2.321901881688725e-03	3.189317e+00	-3.189371e-01
2.331901881688725e-03	3.189317e+00	-3.189382e-01
2.341901881688725e-03	3.189317e+00	-3.189371e-01
2.351901881688725e-03	3.189317e+00	-3.189382e-01
2.361901881688725e-03	3.189317e+00	-3.189371e-01
2.371901881688725e-03	3.189317e+00	-3.189382e-01
2.381901881688725e-03	3.189317e+00	-3.189371e-01
2.391901881688725e-03	3.189317e+00	-3.189382e-01
2.401901881688725e-03	3.189317e+00	-3.189371e-01
2.411901881688725e-03	3.189317e+00	-3.189382e-01
2.421901881688725e-03	3.189317e+00	-3.189371e-01
2.431901881688725e-03	3.189317e+00	-3.189382e-01
2.441901881688725e-03	3.189317e+00	-3.189371e-01
2.451901881688725e-03	3.189317e+00	-3.189382e-01
2.461901881688725e-03	3.189317e+00	-3.189371e-01
