time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
3.005771684168076e-03	-2.612543e-02	1.656275e-07
3.015771684168076e-03	-2.612543e-02	-6.841724e-07
3.025771684168076e-03	-2.612543e-02	1.655014e-07
3.035771684168076e-03	-2.612567e-02	-6.841771e-07
3.045771684168076e-03	-2.612567e-02	1.653789e-07
3.055771684168076e-03	-2.612567e-02	-6.841782e-07
3.065771684168076e-03	-2.612567e-02	1.652600e-07
3.075771684168077e-03	-2.612567e-02	-6.841761e-07
3.085771684168077e-03	-2.612567e-02	1.651442e-07
3.095771684168077e-03	-2.612591e-02	-6.841708e-07
3.105771684168077e-03	-2.612567e-02	1.650316e-07
3.115771684168077e-03	-2.612567e-02	-6.841625e-07
3.125771684168076e-03	-2.612543e-02	1.649219e-07
3.135771684168076e-03	-2.612543e-02	-6.841514e-07
3.145771684168076e-03	-2.612543e-02	1.648149e-07
3.155771684168076e-03	-2.612543e-02	-6.841376e-07
3.165771684168076e-03	-2.612543e-02	1.647105e-07
3.175771684168076e-03	-2.612567e-02	-6.841213e-07
3.185771684168076e-03	-2.612567e-02	1.646086e-07
3.195771684168076e-03	-2.612567e-02	-6.841027e-07
3.205771684168076e-03	-2.612567e-02	1.645089e-07
3.215771684168076e-03	-2.612567e-02	-6.840818e-07
3.225771684168076e-03	-2.612567e-02	1.644115e-07
3.235771684168076e-03	-2.612567e-02	-6.840588e-07
3.245771684168077e-03	-2.612567e-02	1.643161e-07
3.255771684168077e-03	-2.612567e-02	-6.840339e-07
3.265771684168077e-03	-2.612591e-02	1.642227e-07
3.275771684168077e-03	-2.612567e-02	-6.840070e-07
3.285771684168076e-03	-2.612567e-02	1.641311e-07
3.295771684168076e-03	-2.612543e-02	-6.839784e-07
3.305771684168076e-03	-2.612543e-02	1.640413e-07
3.315771684168076e-03	-2.612543e-02	-6.839481e-07
3.325771684168076e-03	-2.612543e-02	1.639531e-07
3.335771684168076e-03	-2.612543e-02	-6.839162e-07
3.345771684168076e-03	-2.612543e-02	1.638664e-07
3.355771684168076e-03	-2.612543e-02	-6.838828e-07
3.365771684168076e-03	-2.612543e-02	1.637812e-07
3.375771684168076e-03	-2.612543e-02	-6.838480e-07
3.385771684168076e-03	-2.612543e-02	1.636974e-07
3.395771684168076e-03	-2.612567e-02	-6.838119e-07
3.405771684168077e-03	-2.612567e-02	1.636150e-07
3.415771684168077e-03	-2.612567e-02	-6.837745e-07
3.425771684168077e-03	-2.612567e-02	1.635337e-07
3.435771684168077e-03	-2.612567e-02	-6.837359e-07
3.445771684168076e-03	-2.612567e-02	1.634536e-07
3.455771684168076e-03	-2.612567e-02	-6.836962e-07
3.465771684168076e-03	-2.612567e-02	1.633747e-07
3.475771684168076e-03	-2.612567e-02	-6.836555e-07
3.485771684168076e-03	-2.612567e-02	1.632968e-07
3.495771684168076e-03	-2.612567e-02	-6.836137e-07
3.505771684168076e-03	-2.612567e-02	1.632198e-07
3.515771684168076e-03	-2.612567e-02	-6.835710e-07
3.525771684168076e-03	-2.612567e-02	1.631438e-07
3.535771684168076e-03	-2.612567e-02	-6.835274e-07
3.545771684168076e-03	-2.612567e-02	1.630687e-07
