time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.726038390393885e-02	3.781714e-06
1.727038390393885e-02	3.781714e-06
1.728038390393885e-02	3.781714e-06
1.729038390393885e-02	3.781714e-06
1.730038390393885e-02	3.781714e-06
1.731038390393885e-02	3.781714e-06
1.732038390393885e-02	3.781714e-06
1.733038390393885e-02	3.781714e-06
1.734038390393885e-02	3.781714e-06
1.735038390393885e-02	3.781714e-06
1.736038390393885e-02	3.781714e-06
1.737038390393885e-02	3.781713e-06
1.738038390393885e-02	3.781713e-06
1.739038390393885e-02	3.781713e-06
1.740038390393885e-02	3.781713e-06
1.741038390393885e-02	3.781713e-06
1.742038390393885e-02	3.781713e-06
1.743038390393885e-02	3.781713e-06
1.744038390393885e-02	3.781713e-06
1.745038390393885e-02	3.781713e-06
1.746038390393885e-02	3.781713e-06
1.747038390393885e-02	3.781713e-06
1.748038390393885e-02	3.781713e-06
1.749038390393885e-02	3.781713e-06
1.750038390393885e-02	3.781713e-06
1.751038390393885e-02	3.781713e-06
1.752038390393885e-02	3.781713e-06
1.753038390393885e-02	3.781713e-06
1.754038390393885e-02	3.781713e-06
1.755038390393885e-02	3.781713e-06
1.756038390393885e-02	3.781713e-06
1.757038390393885e-02	3.781713e-06
1.758038390393885e-02	3.781713e-06
1.759038390393885e-02	3.781713e-06
1.760038390393885e-02	3.781713e-06
1.761038390393885e-02	3.781713e-06
1.762038390393885e-02	3.781713e-06
1.763038390393885e-02	3.781713e-06
1.764038390393885e-02	3.781713e-06
1.765038390393885e-02	3.781712e-06
1.766038390393885e-02	3.781712e-06
1.767038390393885e-02	3.781713e-06
1.768038390393885e-02	3.781713e-06
1.769038390393885e-02	3.781712e-06
1.770038390393885e-02	3.781712e-06
1.771038390393885e-02	3.781712e-06
1.772038390393885e-02	3.781712e-06
1.773038390393885e-02	3.781712e-06
1.774038390393885e-02	3.781712e-06
1.775038390393885e-02	3.781712e-06
1.776038390393885e-02	3.781712e-06
1.777038390393885e-02	3.781712e-06
1.778038390393885e-02	3.781712e-06
1.779038390393885e-02	3.781712e-06
1.780038390393885e-02	3.781712e-06
1.781038390393885e-02	3.781712e-06
1.782038390393885e-02	3.781712e-06
1.783038390393885e-02	3.781712e-06
1.784038390393885e-02	3.781712e-06
1.785038390393885e-02	3.781712e-06
1.786038390393885e-02	3.781712e-06
1.787038390393885e-02	3.781712e-06
1.788038390393885e-02	3.781712e-06
1.789038390393885e-02	3.781712e-06
1.790038390393885e-02	3.781712e-06
1.791038390393885e-02	3.781712e-06
1.792038390393885e-02	3.781712e-06
1.793038390393885e-02	3.781712e-06
1.794038390393885e-02	3.781712e-06
1.795038390393885e-02	3.781712e-06
1.796038390393885e-02	3.781712e-06
1.797038390393885e-02	3.781712e-06
1.798038390393885e-02	3.781712e-06
1.799038390393885e-02	3.781712e-06
1.800038390393885e-02	3.781712e-06
1.801038390393885e-02	3.781712e-06
1.802038390393885e-02	3.781712e-06
1.803038390393885e-02	3.781712e-06
1.804038390393885e-02	3.781712e-06
1.805038390393885e-02	3.781712e-06
1.806038390393885e-02	3.781712e-06
1.807038390393885e-02	3.781712e-06
1.808038390393885e-02	3.781712e-06
1.809038390393885e-02	3.781712e-06
1.810038390393885e-02	3.781712e-06
1.811038390393885e-02	3.781712e-06
1.812038390393885e-02	3.781712e-06
1.813038390393885e-02	3.781712e-06
1.814038390393885e-02	3.781712e-06
1.815038390393885e-02	3.781712e-06
1.816038390393885e-02	3.781712e-06
1.817038390393885e-02	3.781712e-06
1.818038390393885e-02	3.781712e-06
1.819038390393885e-02	3.781712e-06
1.820038390393885e-02	3.781712e-06
1.821038390393885e-02	3.781712e-06
1.822038390393885e-02	3.781712e-06
1.823038390393885e-02	3.781711e-06
1.824038390393885e-02	3.781711e-06
1.825038390393885e-02	3.781712e-06
1.826038390393885e-02	3.781712e-06
1.827038390393885e-02	3.781711e-06
1.828038390393885e-02	3.781711e-06
1.829038390393885e-02	3.781711e-06
1.830038390393885e-02	3.781711e-06
1.831038390393885e-02	3.781711e-06
1.832038390393885e-02	3.781711e-06
1.833038390393885e-02	3.781711e-06
1.834038390393885e-02	3.781711e-06
1.835038390393885e-02	3.781711e-06
1.836038390393885e-02	3.781711e-06
1.837038390393885e-02	3.781711e-06
1.838038390393885e-02	3.781711e-06
1.839038390393885e-02	3.781711e-06
1.840038390393885e-02	3.781711e-06
1.841038390393885e-02	3.781711e-06
1.842038390393885e-02	3.781711e-06
1.843038390393885e-02	3.781711e-06
