time	I(V1)	I(Vcell12)
1.003072551367804e-02	1.823929e-05	-1.582627e-01
1.003396753780421e-02	1.813563e-05	-1.582401e-01
1.003691507193306e-02	1.804367e-05	-1.582139e-01
1.003987398155077e-02	1.794975e-05	-1.581917e-01
1.004271017885088e-02	1.785774e-05	-1.581645e-01
1.004520995918788e-02	1.777294e-05	-1.581444e-01
1.004784522009604e-02	1.768278e-05	-1.581171e-01
1.005028715272747e-02	1.759928e-05	-1.580956e-01
1.005295812689020e-02	1.751014e-05	-1.580658e-01
1.005711805251512e-02	1.737607e-05	-1.580228e-01
1.006116932298419e-02	1.725189e-05	-1.579722e-01
1.006659324086743e-02	1.709236e-05	-1.579030e-01
1.007224035446788e-02	1.693359e-05	-1.578143e-01
1.008025542025469e-02	1.671680e-05	-1.576652e-01
1.008965974087895e-02	1.647444e-05	-1.574086e-01
1.009809877223561e-02	1.626772e-05	-1.570303e-01
1.010385132393707e-02	1.613634e-05	-1.565599e-01
1.010777814156660e-02	1.605556e-05	-1.559877e-01
1.011073520870567e-02	1.600718e-05	-1.551897e-01
1.011317130251009e-02	1.598258e-05	-1.540620e-01
1.011552797255882e-02	1.596103e-05	-1.528997e-01
1.011815491011796e-02	1.593663e-05	-1.515971e-01
1.012096710008596e-02	1.591107e-05	-1.501853e-01
1.012659148002196e-02	1.586026e-05	-1.473393e-01
1.012927028267286e-02	1.583708e-05	-1.459734e-01
1.013092326328372e-02	1.583096e-05	-1.452429e-01
1.013329507561939e-02	1.583400e-05	-1.444198e-01
1.013539215066405e-02	1.584144e-05	-1.438849e-01
1.013759718507132e-02	1.585203e-05	-1.434773e-01
1.014043463868440e-02	1.586722e-05	-1.431588e-01
1.014392010854149e-02	1.588835e-05	-1.430143e-01
1.014945720259824e-02	1.592599e-05	-1.432517e-01
1.015682849284650e-02	1.598494e-05	-1.442696e-01
1.016629295518753e-02	1.607566e-05	-1.466341e-01
1.017629295518753e-02	1.619386e-05	-1.505635e-01
1.017951399937319e-02	1.623761e-05	-1.522287e-01
1.018095139505279e-02	1.625821e-05	-1.530413e-01
1.018242297947644e-02	1.627734e-05	-1.538942e-01
1.018455410224138e-02	1.630199e-05	-1.551503e-01
1.018678924007829e-02	1.632220e-05	-1.564466e-01
1.018862420966586e-02	1.632880e-05	-1.574168e-01
1.018990735734942e-02	1.632723e-05	-1.580142e-01
1.019225410057774e-02	1.631920e-05	-1.589665e-01
1.019461380153946e-02	1.631256e-05	-1.601052e-01
1.019690773288744e-02	1.631135e-05	-1.621589e-01
1.020026065028636e-02	1.631432e-05	-1.655466e-01
1.020349488800641e-02	1.632112e-05	-1.692538e-01
1.020721457697196e-02	1.633043e-05	-1.740521e-01
1.021127311147511e-02	1.634229e-05	-1.798948e-01
1.021731451523581e-02	1.636117e-05	-1.896744e-01
1.022585191851496e-02	1.639100e-05	-2.053422e-01
1.023585191851496e-02	1.642910e-05	-2.256794e-01
1.024585191851496e-02	1.647127e-05	-2.468735e-01
1.025585191851496e-02	1.651765e-05	-2.665829e-01
1.026289058000373e-02	1.655568e-05	-2.757763e-01
1.026643692884022e-02	1.657934e-05	-2.747762e-01
1.027329219739144e-02	1.662789e-05	-2.698570e-01
1.027807915159336e-02	1.666220e-05	-2.662124e-01
1.028765305999719e-02	1.673111e-05	-2.578198e-01
1.029659765318499e-02	1.679947e-05	-2.446359e-01
1.029940940752560e-02	1.682557e-05	-2.337427e-01
1.030040784533874e-02	1.683710e-05	-2.271764e-01
1.030101761467296e-02	1.684458e-05	-2.224388e-01
1.030162738400718e-02	1.685213e-05	-2.177008e-01
1.030223715334140e-02	1.685975e-05	-2.129625e-01
1.030284692267562e-02	1.686746e-05	-2.082238e-01
1.030345669200984e-02	1.687524e-05	-2.034848e-01
1.030406646134406e-02	1.688309e-05	-1.987454e-01
1.030467623067828e-02	1.689102e-05	-1.940057e-01
1.030609100685982e-02	1.690961e-05	-1.835138e-01
1.030781206161389e-02	1.693218e-05	-1.712925e-01
1.031125417112201e-02	1.697881e-05	-1.486629e-01
1.031813839013827e-02	1.707732e-05	-1.110602e-01
1.032165473754691e-02	1.713266e-05	-9.642524e-02
1.032350883594903e-02	1.715087e-05	-8.323641e-02
1.032424625017522e-02	1.714830e-05	-7.317367e-02
1.032499638418627e-02	1.714209e-05	-6.213773e-02
1.032595305782877e-02	1.713136e-05	-4.810787e-02
1.032720661322981e-02	1.711315e-05	-3.117617e-02
1.032915223418951e-02	1.707855e-05	-1.076693e-02
1.033177823163720e-02	1.701977e-05	-1.443054e-05
1.033335071977394e-02	1.698126e-05	-4.339392e-06
1.033524321702881e-02	1.693527e-05	-1.446520e-05
1.033741960980168e-02	1.688350e-05	-4.392065e-06
1.034177239534742e-02	1.678164e-05	-1.451911e-05
1.034765242101522e-02	1.664816e-05	-4.480456e-06
1.035416927023127e-02	1.650423e-05	-1.460257e-05
1.036264955871099e-02	1.632331e-05	-4.567440e-06
1.036831700501579e-02	1.620641e-05	-1.466727e-05
1.037181047337372e-02	1.614743e-05	-4.642531e-06
1.037520703094256e-02	1.609254e-05	-1.472857e-05
1.037777022034246e-02	1.605128e-05	-4.700956e-06
1.038062060113467e-02	1.600553e-05	-1.476455e-05
1.038470289165942e-02	1.594122e-05	-4.755179e-06
1.039117460123956e-02	1.584146e-05	-1.483078e-05
1.039824250358917e-02	1.573655e-05	-4.839277e-06
1.040824250358917e-02	1.559484e-05	-1.492507e-05
1.041824250358917e-02	1.546077e-05	-4.946981e-06
1.042824250358917e-02	1.533341e-05	-1.502485e-05
1.043824250358917e-02	1.521248e-05	-5.045105e-06
1.044824250358917e-02	1.509681e-05	-1.511616e-05
1.045824250358917e-02	1.498627e-05	-5.134548e-06
1.046824250358917e-02	1.487414e-05	-1.518768e-05
1.047284664437269e-02	1.478640e-05	-5.087389e-06
1.047586275046343e-02	1.473081e-05	-1.511989e-05
1.047801757073974e-02	1.469073e-05	-5.056713e-06
1.047966060115443e-02	1.466012e-05	-1.508907e-05
1.048142530951386e-02	1.462780e-05	-5.043886e-06
1.048322473985976e-02	1.459476e-05	-1.506292e-05
1.048594308163966e-02	1.454532e-05	-5.025311e-06
1.049060589038023e-02	1.446039e-05	-1.502154e-05
1.049495612577350e-02	1.438186e-05	-4.982467e-06
1.050124445623028e-02	1.426871e-05	-1.496628e-05
1.050806591065332e-02	1.414760e-05	-4.918941e-06
1.051806591065332e-02	1.397256e-05	-1.488106e-05
1.052806591065332e-02	1.380166e-05	-4.820381e-06
1.053806591065332e-02	1.363411e-05	-1.477895e-05
1.054806591065332e-02	1.346411e-05	-4.690855e-06
1.055806591065332e-02	1.329163e-05	-1.464149e-05
1.056806591065332e-02	1.311984e-05	-4.559105e-06
1.057806591065332e-02	1.294969e-05	-1.451018e-05
1.058806591065332e-02	1.278282e-05	-4.432133e-06
1.059806591065332e-02	1.261937e-05	-1.438369e-05
1.060806591065332e-02	1.246034e-05	-4.310461e-06
1.061806591065332e-02	1.230546e-05	-1.426328e-05
1.062806591065332e-02	1.215541e-05	-4.195536e-06
1.063806591065332e-02	1.200974e-05	-1.415028e-05
1.064806591065332e-02	1.186899e-05	-4.088451e-06
1.065806591065332e-02	1.173259e-05	-1.404548e-05
1.066806591065332e-02	1.160101e-05	-3.989727e-06
1.067806591065332e-02	1.147363e-05	-1.394916e-05
1.068806591065332e-02	1.135088e-05	-3.899426e-06
1.069806591065332e-02	1.123211e-05	-1.386119e-05
1.070806591065332e-02	1.111773e-05	-3.817294e-06
1.071806591065332e-02	1.100707e-05	-1.378120e-05
1.072806591065332e-02	1.090055e-05	-3.742884e-06
1.073806591065332e-02	1.079748e-05	-1.370869e-05
1.074806591065332e-02	1.069829e-05	-3.675645e-06
1.075806591065332e-02	1.060230e-05	-1.364307e-05
1.076806591065332e-02	1.050992e-05	-3.614986e-06
1.077806591065332e-02	1.042050e-05	-1.358374e-05
1.078806591065332e-02	1.033444e-05	-3.560308e-06
1.079806591065332e-02	1.025108e-05	-1.353008e-05
1.080806591065332e-02	1.017080e-05	-3.510909e-06
1.081806591065332e-02	1.009308e-05	-1.348153e-05
1.082806591065332e-02	1.001828e-05	-3.466502e-06
1.083806591065332e-02	9.945803e-06	-1.343768e-05
1.084806591065332e-02	9.876057e-06	-3.426529e-06
1.085806591065332e-02	9.808432e-06	-1.339806e-05
1.086806591065332e-02	9.743359e-06	-3.390536e-06
1.087806591065332e-02	9.680229e-06	-1.336220e-05
1.088806591065332e-02	9.619482e-06	-3.358103e-06
1.089806591065332e-02	9.560512e-06	-1.332972e-05
1.090806591065332e-02	9.503769e-06	-3.328854e-06
1.091806591065332e-02	9.448654e-06	-1.330025e-05
1.092806591065332e-02	9.395621e-06	-3.302448e-06
1.093806591065332e-02	9.344077e-06	-1.327347e-05
1.094806591065332e-02	9.294482e-06	-3.278582e-06
1.095806591065332e-02	9.246251e-06	-1.324909e-05
1.096806591065332e-02	9.199846e-06	-3.256986e-06
1.097806591065332e-02	9.154688e-06	-1.322687e-05
1.098806591065332e-02	9.111245e-06	-3.237419e-06
1.099806591065332e-02	9.068942e-06	-1.320657e-05
1.100806591065332e-02	9.028251e-06	-3.219666e-06
1.101806591065332e-02	8.988602e-06	-1.318798e-05
1.102806591065332e-02	8.950471e-06	-3.203540e-06
1.103806591065332e-02	8.913291e-06	-1.317094e-05
1.104806591065332e-02	8.877541e-06	-3.188872e-06
1.105806591065332e-02	8.842660e-06	-1.315528e-05
1.106806591065332e-02	8.809129e-06	-3.175513e-06
1.107806591065332e-02	8.776391e-06	-1.314087e-05
1.108806591065332e-02	8.744929e-06	-3.163331e-06
1.109806591065332e-02	8.714188e-06	-1.312757e-05
1.110806591065332e-02	8.684656e-06	-3.152210e-06
1.111806591065332e-02	8.655780e-06	-1.311529e-05
1.112806591065332e-02	8.628049e-06	-3.142044e-06
1.113806591065332e-02	8.600915e-06	-1.310391e-05
1.114806591065332e-02	8.574868e-06	-3.132744e-06
1.115806591065332e-02	8.549361e-06	-1.309336e-05
1.116806591065332e-02	8.524888e-06	-3.124225e-06
1.117806591065332e-02	8.500903e-06	-1.308355e-05
1.118806591065332e-02	8.477902e-06	-3.116416e-06
1.119806591065332e-02	8.455342e-06	-1.307442e-05
1.120806591065332e-02	8.433719e-06	-3.109251e-06
1.121806591065332e-02	8.412493e-06	-1.306590e-05
1.122806591065332e-02	8.392160e-06	-3.102672e-06
1.123806591065332e-02	8.372185e-06	-1.305795e-05
1.124806591065332e-02	8.353061e-06	-3.096627e-06
1.125806591065332e-02	8.334257e-06	-1.305051e-05
1.126806591065332e-02	8.316268e-06	-3.091071e-06
1.127806591065332e-02	8.298562e-06	-1.304353e-05
1.128806591065332e-02	8.281636e-06	-3.085961e-06
1.129806591065332e-02	8.264960e-06	-1.303699e-05
1.130806591065332e-02	8.249033e-06	-3.081259e-06
1.131806591065332e-02	8.233325e-06	-1.303083e-05
1.132806591065332e-02	8.218334e-06	-3.076933e-06
1.133806591065332e-02	8.203535e-06	-1.302504e-05
1.134806591065332e-02	8.189424e-06	-3.072952e-06
1.135806591065332e-02	8.175478e-06	-1.301957e-05
1.136806591065332e-02	8.162194e-06	-3.069289e-06
1.137806591065332e-02	8.149049e-06	-1.301442e-05
1.138806591065332e-02	8.136542e-06	-3.065918e-06
1.139806591065332e-02	8.124150e-06	-1.300955e-05
1.140806591065332e-02	8.112374e-06	-3.062818e-06
1.141806591065332e-02	8.100690e-06	-1.300493e-05
1.142806591065332e-02	8.089600e-06	-3.059967e-06
1.143806591065332e-02	8.078583e-06	-1.300056e-05
1.144806591065332e-02	8.068138e-06	-3.057348e-06
1.145806591065332e-02	8.057748e-06	-1.299641e-05
1.146806591065332e-02	8.047912e-06	-3.054943e-06
1.147806591065332e-02	8.038111e-06	-1.299247e-05
1.148806591065332e-02	8.028846e-06	-3.052738e-06
1.149806591065332e-02	8.019601e-06	-1.298872e-05
1.150806591065332e-02	8.010874e-06	-3.050717e-06
1.151806591065332e-02	8.002151e-06	-1.298515e-05
1.152806591065332e-02	7.993930e-06	-3.048869e-06
1.153806591065332e-02	7.985699e-06	-1.298175e-05
1.154806591065332e-02	7.977955e-06	-3.047181e-06
1.155806591065332e-02	7.970187e-06	-1.297850e-05
1.156806591065332e-02	7.962893e-06	-3.045642e-06
1.157806591065332e-02	7.955560e-06	-1.297540e-05
1.158806591065332e-02	7.948688e-06	-3.044243e-06
1.159806591065332e-02	7.941767e-06	-1.297243e-05
1.160806591065332e-02	7.935293e-06	-3.042974e-06
1.161806591065332e-02	7.928759e-06	-1.296959e-05
1.162806591065332e-02	7.922661e-06	-3.041826e-06
1.163806591065332e-02	7.916491e-06	-1.296687e-05
1.164806591065332e-02	7.910747e-06	-3.040792e-06
1.165806591065332e-02	7.904920e-06	-1.296426e-05
1.166806591065332e-02	7.899509e-06	-3.039865e-06
1.167806591065332e-02	7.894006e-06	-1.296175e-05
1.168806591065332e-02	7.888909e-06	-3.039037e-06
1.169806591065332e-02	7.883711e-06	-1.295934e-05
1.170806591065332e-02	7.878909e-06	-3.038302e-06
1.171806591065332e-02	7.873999e-06	-1.295702e-05
1.172806591065332e-02	7.869477e-06	-3.037655e-06
1.173806591065332e-02	7.864837e-06	-1.295479e-05
1.174806591065332e-02	7.860577e-06	-3.037091e-06
1.175806591065332e-02	7.856194e-06	-1.295263e-05
1.176806591065332e-02	7.852182e-06	-3.036603e-06
1.177806591065332e-02	7.848039e-06	-1.295055e-05
1.178806591065332e-02	7.844261e-06	-3.036188e-06
1.179806591065332e-02	7.840345e-06	-1.294855e-05
1.180806591065332e-02	7.836788e-06	-3.035841e-06
1.181806591065332e-02	7.833086e-06	-1.294660e-05
1.182806591065332e-02	7.829735e-06	-3.035558e-06
1.183806591065332e-02	7.826236e-06	-1.294473e-05
1.184806591065332e-02	7.823081e-06	-3.035335e-06
1.185806591065332e-02	7.819772e-06	-1.294291e-05
1.186806591065332e-02	7.816802e-06	-3.035169e-06
1.187806591065332e-02	7.813673e-06	-1.294114e-05
1.188806591065332e-02	7.810877e-06	-3.035056e-06
1.189806591065332e-02	7.807917e-06	-1.293943e-05
1.190806591065332e-02	7.805284e-06	-3.034993e-06
1.191806591065332e-02	7.802484e-06	-1.293777e-05
1.192806591065332e-02	7.800008e-06	-3.034977e-06
1.193806591065332e-02	7.797357e-06	-1.293616e-05
1.194806591065332e-02	7.795027e-06	-3.035006e-06
1.195806591065332e-02	7.792519e-06	-1.293458e-05
1.196806591065332e-02	7.790326e-06	-3.035077e-06
1.197806591065332e-02	7.787952e-06	-1.293305e-05
1.198806591065332e-02	7.785889e-06	-3.035187e-06
1.199806591065332e-02	7.783642e-06	-1.293156e-05
1.200806591065332e-02	7.781701e-06	-3.035334e-06
1.201806591065332e-02	7.779574e-06	-1.293011e-05
1.202806591065332e-02	7.777749e-06	-3.035516e-06
1.203806591065332e-02	7.775733e-06	-1.292869e-05
1.204806591065332e-02	7.774017e-06	-3.035732e-06
1.205806591065332e-02	7.772108e-06	-1.292730e-05
1.206806591065332e-02	7.770494e-06	-3.035978e-06
1.207806591065332e-02	7.768685e-06	-1.292594e-05
1.208806591065332e-02	7.767169e-06	-3.036254e-06
1.209806591065332e-02	7.765455e-06	-1.292462e-05
1.210806591065332e-02	7.764030e-06	-3.036558e-06
1.211806591065332e-02	7.762404e-06	-1.292332e-05
1.212806591065332e-02	7.761067e-06	-3.036888e-06
1.213806591065332e-02	7.759525e-06	-1.292204e-05
1.214806591065332e-02	7.758268e-06	-3.037243e-06
1.215806591065332e-02	7.756807e-06	-1.292080e-05
1.216806591065332e-02	7.755626e-06	-3.037621e-06
1.217806591065332e-02	7.754240e-06	-1.291957e-05
1.218806591065332e-02	7.753132e-06	-3.038021e-06
1.219806591065332e-02	7.751816e-06	-1.291837e-05
1.220806591065332e-02	7.750777e-06	-3.038441e-06
1.221806591065332e-02	7.749527e-06	-1.291718e-05
