time	-I(Vcell15)
1.287677720200402e-02	3.331104e-06
1.288677720200402e-02	4.350976e-06
1.289677720200402e-02	3.329883e-06
1.290677720200402e-02	4.349779e-06
1.291677720200402e-02	3.328700e-06
1.292677720200402e-02	4.348621e-06
1.293677720200402e-02	3.327554e-06
1.294677720200402e-02	4.347499e-06
1.295677720200402e-02	3.326443e-06
1.296677720200402e-02	4.346412e-06
1.297677720200402e-02	3.325368e-06
1.298677720200402e-02	4.345358e-06
1.299677720200402e-02	3.324325e-06
1.300677720200402e-02	4.344337e-06
1.301677720200402e-02	3.323314e-06
1.302677720200402e-02	4.343348e-06
1.303677720200402e-02	3.322335e-06
1.304677720200402e-02	4.342390e-06
1.305677720200402e-02	3.321385e-06
1.306677720200402e-02	4.341461e-06
1.307677720200402e-02	3.320465e-06
1.308677720200402e-02	4.340560e-06
1.309677720200402e-02	3.319572e-06
1.310677720200402e-02	4.339687e-06
1.311677720200402e-02	3.318707e-06
1.312677720200402e-02	4.338840e-06
1.313677720200402e-02	3.317868e-06
1.314677720200402e-02	4.338020e-06
1.315677720200402e-02	3.317053e-06
1.316677720200402e-02	4.337223e-06
1.317677720200402e-02	3.316264e-06
1.318677720200402e-02	4.336452e-06
1.319677720200402e-02	3.315498e-06
1.320677720200402e-02	4.335703e-06
1.321677720200402e-02	3.314755e-06
1.322677720200402e-02	4.334977e-06
1.323677720200402e-02	3.314034e-06
1.324677720200402e-02	4.334272e-06
1.325677720200402e-02	3.313335e-06
1.326677720200402e-02	4.333589e-06
1.327677720200402e-02	3.312656e-06
1.328677720200402e-02	4.332926e-06
1.329677720200402e-02	3.311997e-06
1.330677720200402e-02	4.332283e-06
1.331677720200402e-02	3.311359e-06
1.332677720200402e-02	4.331660e-06
1.333677720200402e-02	3.310738e-06
1.334677720200402e-02	4.331054e-06
1.335677720200402e-02	3.310136e-06
1.336677720200402e-02	4.330466e-06
1.337677720200402e-02	3.309552e-06
1.338677720200402e-02	4.329896e-06
1.339677720200402e-02	3.308984e-06
1.340677720200402e-02	4.329343e-06
1.341677720200402e-02	3.308434e-06
1.342677720200402e-02	4.328806e-06
1.343677720200402e-02	3.307899e-06
1.344677720200402e-02	4.328285e-06
1.345677720200402e-02	3.307380e-06
