Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
738,368500.000us,3000,920,-2080
739,369000.000us,3000,1000,-2000
740,369500.000us,2960,920,-2040
741,370000.000us,2960,920,-2040
742,370500.000us,3000,960,-2040
743,371000.000us,3000,1000,-2000
744,371500.000us,2960,880,-2080
745,372000.000us,3000,960,-2040
746,372500.000us,2960,960,-2000
747,373000.000us,3000,960,-2040
748,373500.000us,2960,920,-2040
749,374000.000us,3000,920,-2080
750,374500.000us,3000,960,-2040
751,375000.000us,3040,960,-2080
752,375500.000us,3000,920,-2080
753,376000.000us,3040,960,-2080
754,376500.000us,3040,960,-2080
755,377000.000us,3080,1000,-2080
756,377500.000us,3040,920,-2120
757,378000.000us,3080,920,-2160
758,378500.000us,3080,960,-2120
759,379000.000us,3320,1040,-2280
760,379500.000us,3080,960,-2120
761,380000.000us,3320,1040,-2280
762,380500.000us,3360,1040,-2320
763,381000.000us,3560,1160,-2400
764,381500.000us,3360,1040,-2320
765,382000.000us,3560,1080,-2480
766,382500.000us,3520,1120,-2400
767,383000.000us,3560,1120,-2440
768,383500.000us,3320,1000,-2320
769,384000.000us,3320,1040,-2280
770,384500.000us,3280,1000,-2280
771,385000.000us,3280,1000,-2280
772,385500.000us,2960,920,-2040
