time	V(N024,N004)	V(N027,N006)
1.509269960236930e-04	-2.384186e-07	-5.566599e-01
1.609269960236930e-04	2.384186e-07	-5.423224e-01
1.709269960236930e-04	-2.384186e-07	-5.283525e-01
1.809269960236930e-04	2.384186e-07	-5.147386e-01
1.909269960236930e-04	-2.384186e-07	-5.014739e-01
2.009269960236930e-04	2.384186e-07	-4.885478e-01
2.109269960236930e-04	-2.384186e-07	-4.759536e-01
2.209269960236930e-04	2.384186e-07	-4.636812e-01
2.309269960236930e-04	-2.384186e-07	-4.517241e-01
2.409269960236930e-04	2.384186e-07	-4.400725e-01
2.509269960236931e-04	-2.384186e-07	-4.287207e-01
2.609269960236930e-04	2.384186e-07	-4.176590e-01
2.709269960236930e-04	-2.384186e-07	-4.068823e-01
2.809269960236930e-04	2.384186e-07	-3.963811e-01
2.909269960236930e-04	-2.384186e-07	-3.861504e-01
3.009269960236930e-04	2.384186e-07	-3.761816e-01
3.109269960236930e-04	-2.384186e-07	-3.664696e-01
3.209269960236930e-04	2.384186e-07	-3.570065e-01
3.309269960236930e-04	-2.384186e-07	-3.477876e-01
3.409269960236930e-04	2.384186e-07	-3.388045e-01
3.509269960236930e-04	-2.384186e-07	-3.300536e-01
3.609269960236930e-04	2.384186e-07	-3.215268e-01
3.709269960236930e-04	-2.384186e-07	-3.132203e-01
3.809269960236930e-04	2.384186e-07	-3.051264e-01
3.909269960236930e-04	-2.384186e-07	-2.972419e-01
4.009269960236930e-04	2.384186e-07	-2.895596e-01
4.109269960236930e-04	-2.384186e-07	-2.820759e-01
4.209269960236930e-04	2.384186e-07	-2.747838e-01
4.309269960236930e-04	-2.384186e-07	-2.676809e-01
4.409269960236930e-04	2.384186e-07	-2.607598e-01
4.509269960236930e-04	-2.384186e-07	-2.540181e-01
4.609269960236930e-04	2.384186e-07	-2.474492e-01
4.709269960236930e-04	-2.384186e-07	-2.410505e-01
4.809269960236930e-04	2.384186e-07	-2.348158e-01
4.909269960236930e-04	-2.384186e-07	-2.287431e-01
5.009269960236931e-04	2.384186e-07	-2.228258e-01
5.109269960236930e-04	-2.384186e-07	-2.170622e-01
5.209269960236930e-04	2.384186e-07	-2.114463e-01
5.309269960236930e-04	-2.384186e-07	-2.059762e-01
5.409269960236931e-04	2.384186e-07	-2.006464e-01
5.509269960236930e-04	-2.384186e-07	-1.954551e-01
5.609269960236930e-04	2.384186e-07	-1.903968e-01
5.709269960236930e-04	-2.384186e-07	-1.854701e-01
5.809269960236930e-04	2.384186e-07	-1.806695e-01
5.909269960236930e-04	-2.384186e-07	-1.759942e-01
6.009269960236930e-04	2.384186e-07	-1.714385e-01
6.109269960236930e-04	-2.384186e-07	-1.670012e-01
6.209269960236930e-04	2.384186e-07	-1.626775e-01
6.309269960236930e-04	-2.384186e-07	-1.584668e-01
6.409269960236930e-04	2.384186e-07	-1.543639e-01
6.509269960236930e-04	-2.384186e-07	-1.503680e-01
6.609269960236930e-04	2.384186e-07	-1.464744e-01
6.709269960236930e-04	-2.384186e-07	-1.426823e-01
6.809269960236930e-04	2.384186e-07	-1.389873e-01
6.909269960236930e-04	-2.384186e-07	-1.353886e-01
7.009269960236930e-04	2.384186e-07	-1.318820e-01
7.109269960236930e-04	-2.384186e-07	-1.284673e-01
7.209269960236930e-04	2.384186e-07	-1.251397e-01
7.309269960236930e-04	-2.384186e-07	-1.218994e-01
7.409269960236930e-04	2.384186e-07	-1.187415e-01
7.509269960236930e-04	-2.384186e-07	-1.156664e-01
7.609269960236930e-04	2.384186e-07	-1.126702e-01
7.709269960236930e-04	-2.384186e-07	-1.097522e-01
7.809269960236930e-04	2.384186e-07	-1.069086e-01
7.909269960236929e-04	-2.384186e-07	-1.041398e-01
8.009269960236930e-04	2.384186e-07	-1.014416e-01
8.109269960236930e-04	-2.384186e-07	-9.881401e-02
8.209269960236930e-04	2.384186e-07	-9.625363e-02
8.309269960236929e-04	-2.384186e-07	-9.376025e-02
8.409269960236930e-04	2.384186e-07	-9.133053e-02
8.509269960236930e-04	-2.384186e-07	-8.896470e-02
8.609269960236930e-04	2.384186e-07	-8.665919e-02
8.709269960236929e-04	-2.384186e-07	-8.441424e-02
8.809269960236930e-04	2.384186e-07	-8.222651e-02
8.909269960236930e-04	-2.384186e-07	-8.009648e-02
9.009269960236930e-04	2.384186e-07	-7.802033e-02
9.109269960236929e-04	-2.384186e-07	-7.599902e-02
9.209269960236930e-04	2.384186e-07	-7.402921e-02
9.309269960236930e-04	-2.384186e-07	-7.211137e-02
9.409269960236930e-04	2.384186e-07	-7.024193e-02
9.509269960236929e-04	-2.384186e-07	-6.842208e-02
9.609269960236930e-04	2.384186e-07	-6.664824e-02
9.709269960236930e-04	-2.384186e-07	-6.492162e-02
9.809269960236930e-04	2.384186e-07	-6.323862e-02
9.909269960236930e-04	-2.384186e-07	-6.159997e-02
