time	Ix(M3:D)
1.044641835458377e-02	-1.621306e-05
1.045589702286615e-02	-1.529967e-05
1.046589702286614e-02	-1.350215e-05
1.047576027642319e-02	-1.092014e-05
1.048576027642319e-02	-1.075319e-05
1.049576027642319e-02	-1.219987e-05
1.050576027642319e-02	-1.260863e-05
1.051576027642319e-02	-1.242869e-05
1.052576027642319e-02	-1.225896e-05
1.053576027642319e-02	-1.208801e-05
1.054576027642319e-02	-1.192150e-05
1.055576027642319e-02	-1.175886e-05
1.056576027642319e-02	-1.160006e-05
1.057576027642319e-02	-1.144500e-05
1.058576027642319e-02	-1.129358e-05
1.059576027642319e-02	-1.114562e-05
1.060576027642319e-02	-1.099995e-05
1.061576027642319e-02	-1.085474e-05
1.062576027642319e-02	-1.070936e-05
1.063576027642319e-02	-1.056470e-05
1.064576027642319e-02	-1.042158e-05
1.065576027642319e-02	-1.028062e-05
1.066576027642319e-02	-1.014217e-05
1.067576027642319e-02	-1.000650e-05
1.068576027642319e-02	-9.873734e-06
1.069576027642319e-02	-9.743997e-06
1.070576027642319e-02	-9.617301e-06
1.071576027642319e-02	-9.493705e-06
1.072576027642319e-02	-9.373161e-06
1.073576027642319e-02	-9.255688e-06
1.074576027642319e-02	-9.141205e-06
1.075576027642319e-02	-9.029708e-06
1.076576027642319e-02	-8.921099e-06
1.077576027642319e-02	-8.815359e-06
1.078576027642319e-02	-8.712384e-06
1.079576027642319e-02	-8.612150e-06
1.080576027642319e-02	-8.514545e-06
1.081576027642319e-02	-8.419544e-06
1.082576027642319e-02	-8.327037e-06
1.083576027642319e-02	-8.236999e-06
1.084576027642319e-02	-8.149318e-06
1.085576027642319e-02	-8.063973e-06
1.086576027642319e-02	-7.980857e-06
1.087576027642319e-02	-7.899951e-06
1.088576027642319e-02	-7.821151e-06
1.089576027642319e-02	-7.744443e-06
1.090576027642319e-02	-7.669727e-06
1.091576027642319e-02	-7.596992e-06
1.092576027642319e-02	-7.526143e-06
1.093576027642319e-02	-7.457176e-06
1.094576027642319e-02	-7.389999e-06
1.095576027642319e-02	-7.324610e-06
1.096576027642319e-02	-7.260925e-06
1.097576027642319e-02	-7.198943e-06
1.098576027642319e-02	-7.138587e-06
1.099576027642319e-02	-7.076599e-06
1.100000000100000e-02	-7.819723e-06
1.100000000200000e-02	-7.819749e-06
1.100000001800000e-02	-7.820554e-06
1.100000005000000e-02	-7.822104e-06
1.100000011400000e-02	-7.825237e-06
1.100000024200000e-02	-7.831490e-06
1.100000049800000e-02	-7.842622e-06
1.100000101000000e-02	-7.855358e-06
1.100000203400000e-02	-7.846025e-06
1.100000408200000e-02	-7.763964e-06
1.100000817800000e-02	-7.578004e-06
1.100001637000000e-02	-7.337993e-06
1.100003275400001e-02	-7.146249e-06
1.100006552200002e-02	-7.063272e-06
1.100013105800003e-02	-7.053335e-06
1.100026213000006e-02	-7.053796e-06
1.100052427400013e-02	-7.051946e-06
1.100104856200025e-02	-7.049087e-06
1.100209713800050e-02	-7.043054e-06
1.100419429000100e-02	-7.031199e-06
1.100838859400201e-02	-7.007672e-06
1.101677720200402e-02	-6.961435e-06
1.102677720200402e-02	-6.907529e-06
1.103677720200402e-02	-6.855036e-06
1.104677720200402e-02	-6.803989e-06
1.105677720200402e-02	-6.754357e-06
1.106677720200402e-02	-6.706114e-06
1.107677720200402e-02	-6.659233e-06
1.108677720200402e-02	-6.613686e-06
1.109677720200402e-02	-6.569448e-06
1.110677720200402e-02	-6.526492e-06
1.111677720200402e-02	-6.484791e-06
1.112677720200402e-02	-6.444320e-06
1.113677720200402e-02	-6.405051e-06
1.114677720200402e-02	-6.366957e-06
1.115677720200402e-02	-6.330010e-06
1.116677720200402e-02	-6.294182e-06
1.117677720200402e-02	-6.259444e-06
1.118677720200402e-02	-6.225766e-06
1.119677720200402e-02	-6.193119e-06
1.120677720200402e-02	-6.161473e-06
1.121677720200402e-02	-6.130796e-06
1.122677720200402e-02	-6.101057e-06
1.123677720200402e-02	-6.072225e-06
1.124677720200402e-02	-6.044268e-06
1.125677720200402e-02	-6.017156e-06
1.126677720200402e-02	-5.990855e-06
1.127677720200402e-02	-5.965337e-06
1.128677720200402e-02	-5.940568e-06
1.129677720200402e-02	-5.916520e-06
1.130677720200402e-02	-5.893162e-06
1.131677720200402e-02	-5.870465e-06
1.132677720200402e-02	-5.848401e-06
1.133677720200402e-02	-5.826942e-06
1.134677720200402e-02	-5.806060e-06
1.135677720200402e-02	-5.785732e-06
1.136677720200402e-02	-5.765931e-06
1.137677720200402e-02	-5.746634e-06
1.138677720200402e-02	-5.727817e-06
1.139677720200402e-02	-5.709459e-06
1.140677720200402e-02	-5.691540e-06
1.141677720200402e-02	-5.674038e-06
1.142677720200402e-02	-5.656936e-06
1.143677720200402e-02	-5.640215e-06
1.144677720200402e-02	-5.623858e-06
1.145677720200402e-02	-5.607851e-06
1.146677720200402e-02	-5.592176e-06
1.147677720200402e-02	-5.576821e-06
1.148677720200402e-02	-5.561772e-06
1.149677720200402e-02	-5.547016e-06
1.150677720200402e-02	-5.532541e-06
1.151677720200402e-02	-5.518337e-06
1.152677720200402e-02	-5.504392e-06
1.153677720200402e-02	-5.490697e-06
1.154677720200402e-02	-5.477243e-06
1.155677720200402e-02	-5.464021e-06
1.156677720200402e-02	-5.451023e-06
1.157677720200402e-02	-5.438242e-06
1.158677720200402e-02	-5.425671e-06
1.159677720200402e-02	-5.413302e-06
1.160677720200402e-02	-5.401130e-06
1.161677720200402e-02	-5.389149e-06
1.162677720200402e-02	-5.377353e-06
