time	Ix(M3:S)
2.576777201000463e-03	-8.569740e-06
2.586777201000463e-03	-8.569727e-06
2.596777201000463e-03	-8.569713e-06
2.606777201000463e-03	-8.569700e-06
2.616777201000463e-03	-8.569688e-06
2.626777201000463e-03	-8.569677e-06
2.636777201000463e-03	-8.569667e-06
2.646777201000463e-03	-8.569657e-06
2.656777201000463e-03	-8.569647e-06
2.666777201000463e-03	-8.569637e-06
2.676777201000463e-03	-8.569628e-06
2.686777201000463e-03	-8.569620e-06
2.696777201000463e-03	-8.569612e-06
2.706777201000463e-03	-8.569605e-06
2.716777201000463e-03	-8.569597e-06
2.726777201000463e-03	-8.569591e-06
2.736777201000463e-03	-8.569585e-06
2.746777201000463e-03	-8.569577e-06
2.756777201000463e-03	-8.569572e-06
2.766777201000463e-03	-8.569566e-06
2.776777201000463e-03	-8.569561e-06
2.786777201000463e-03	-8.569556e-06
2.796777201000463e-03	-8.569551e-06
2.806777201000463e-03	-8.569546e-06
2.816777201000463e-03	-8.569542e-06
2.826777201000463e-03	-8.569537e-06
2.836777201000463e-03	-8.569534e-06
2.846777201000463e-03	-8.569530e-06
2.856777201000463e-03	-8.569526e-06
2.866777201000463e-03	-8.569523e-06
2.876777201000463e-03	-8.569519e-06
2.886777201000463e-03	-8.569516e-06
2.896777201000463e-03	-8.569514e-06
2.906777201000463e-03	-8.569510e-06
2.916777201000463e-03	-8.569508e-06
2.926777201000463e-03	-8.569506e-06
2.936777201000463e-03	-8.569503e-06
2.946777201000463e-03	-8.569501e-06
2.956777201000463e-03	-8.569498e-06
2.966777201000463e-03	-8.569496e-06
2.976777201000463e-03	-8.569494e-06
2.986777201000463e-03	-8.569492e-06
2.996777201000463e-03	-8.569491e-06
3.006777201000463e-03	-8.569489e-06
3.016777201000463e-03	-8.569487e-06
3.026777201000463e-03	-8.569486e-06
3.036777201000463e-03	-8.569485e-06
3.046777201000463e-03	-8.569483e-06
3.056777201000463e-03	-8.569481e-06
3.066777201000463e-03	-8.569480e-06
3.076777201000463e-03	-8.569479e-06
3.086777201000463e-03	-8.569477e-06
3.096777201000463e-03	-8.569477e-06
3.106777201000463e-03	-8.569476e-06
3.116777201000463e-03	-8.569475e-06
3.126777201000463e-03	-8.569474e-06
3.136777201000463e-03	-8.569473e-06
3.146777201000463e-03	-8.569472e-06
3.156777201000463e-03	-8.569471e-06
3.166777201000463e-03	-8.569470e-06
3.176777201000463e-03	-8.569469e-06
3.186777201000463e-03	-8.569468e-06
3.196777201000463e-03	-8.569468e-06
3.206777201000463e-03	-8.569467e-06
3.216777201000463e-03	-8.569466e-06
3.226777201000463e-03	-8.569466e-06
3.236777201000463e-03	-8.569466e-06
3.246777201000463e-03	-8.569465e-06
3.256777201000463e-03	-8.569465e-06
3.266777201000463e-03	-8.569465e-06
3.276777201000463e-03	-8.569464e-06
3.286777201000463e-03	-8.569463e-06
3.296777201000463e-03	-8.569463e-06
3.306777201000463e-03	-8.569463e-06
3.316777201000463e-03	-8.569463e-06
3.326777201000463e-03	-8.569462e-06
3.336777201000463e-03	-8.569462e-06
3.346777201000463e-03	-8.569461e-06
3.356777201000463e-03	-8.569461e-06
3.366777201000463e-03	-8.569460e-06
3.376777201000463e-03	-8.569460e-06
3.386777201000463e-03	-8.569460e-06
3.396777201000463e-03	-8.569459e-06
3.406777201000463e-03	-8.569459e-06
3.416777201000463e-03	-8.569459e-06
3.426777201000463e-03	-8.569459e-06
3.436777201000463e-03	-8.569459e-06
3.446777201000463e-03	-8.569458e-06
3.456777201000463e-03	-8.569458e-06
3.466777201000463e-03	-8.569458e-06
3.476777201000463e-03	-8.569458e-06
3.486777201000463e-03	-8.569458e-06
3.496777201000463e-03	-8.569457e-06
3.506777201000463e-03	-8.569457e-06
3.516777201000463e-03	-8.569457e-06
3.526777201000463e-03	-8.569457e-06
3.536777201000463e-03	-8.569457e-06
3.546777201000463e-03	-8.569457e-06
3.556777201000463e-03	-8.569457e-06
3.566777201000463e-03	-8.569456e-06
3.576777201000463e-03	-8.569456e-06
3.586777201000463e-03	-8.569457e-06
3.596777201000463e-03	-8.569457e-06
3.606777201000463e-03	-8.569456e-06
3.616777201000463e-03	-8.569456e-06
3.626777201000463e-03	-8.569456e-06
3.636777201000463e-03	-8.569456e-06
3.646777201000463e-03	-8.569456e-06
3.656777201000463e-03	-8.569456e-06
3.666777201000463e-03	-8.569456e-06
3.676777201000463e-03	-8.569456e-06
3.686777201000463e-03	-8.569456e-06
3.696777201000463e-03	-8.569456e-06
3.706777201000463e-03	-8.569456e-06
3.716777201000463e-03	-8.569456e-06
3.726777201000463e-03	-8.569456e-06
3.736777201000463e-03	-8.569456e-06
3.746777201000463e-03	-8.569456e-06
3.756777201000463e-03	-8.569456e-06
3.766777201000463e-03	-8.569456e-06
3.776777201000463e-03	-8.569456e-06
3.786777201000463e-03	-8.569456e-06
3.796777201000463e-03	-8.569456e-06
3.806777201000463e-03	-8.569456e-06
3.816777201000463e-03	-8.569456e-06
3.826777201000463e-03	-8.569456e-06
3.836777201000463e-03	-8.569456e-06
3.846777201000463e-03	-8.569456e-06
3.856777201000463e-03	-8.569456e-06
3.866777201000463e-03	-8.569456e-06
3.876777201000463e-03	-8.569456e-06
3.886777201000463e-03	-8.569456e-06
3.896777201000463e-03	-8.569456e-06
3.906777201000463e-03	-8.569455e-06
3.916777201000463e-03	-8.569455e-06
3.926777201000463e-03	-8.569456e-06
3.936777201000463e-03	-8.569456e-06
3.946777201000463e-03	-8.569456e-06
3.956777201000463e-03	-8.569456e-06
3.966777201000463e-03	-8.569456e-06
3.976777201000463e-03	-8.569456e-06
3.986777201000463e-03	-8.569456e-06
3.996777201000463e-03	-8.569456e-06
4.006777201000463e-03	-8.569455e-06
4.016777201000463e-03	-8.569455e-06
4.026777201000463e-03	-8.569455e-06
4.036777201000463e-03	-8.569455e-06
4.046777201000462e-03	-8.569455e-06
4.056777201000463e-03	-8.569455e-06
4.066777201000463e-03	-8.569456e-06
4.076777201000463e-03	-8.569456e-06
4.086777201000463e-03	-8.569456e-06
4.096777201000463e-03	-8.569456e-06
4.106777201000463e-03	-8.569455e-06
4.116777201000463e-03	-8.569455e-06
4.126777201000463e-03	-8.569455e-06
4.136777201000463e-03	-8.569455e-06
4.146777201000463e-03	-8.569455e-06
4.156777201000463e-03	-8.569455e-06
4.166777201000463e-03	-8.569455e-06
4.176777201000463e-03	-8.569455e-06
4.186777201000463e-03	-8.569455e-06
4.196777201000462e-03	-8.569455e-06
4.206777201000463e-03	-8.569455e-06
4.216777201000462e-03	-8.569455e-06
4.226777201000463e-03	-8.569455e-06
4.236777201000463e-03	-8.569455e-06
4.246777201000463e-03	-8.569456e-06
4.256777201000463e-03	-8.569456e-06
4.266777201000463e-03	-8.569455e-06
4.276777201000463e-03	-8.569455e-06
4.286777201000463e-03	-8.569455e-06
4.296777201000463e-03	-8.569455e-06
4.306777201000463e-03	-8.569455e-06
4.316777201000463e-03	-8.569455e-06
4.326777201000463e-03	-8.569455e-06
4.336777201000463e-03	-8.569455e-06
4.346777201000463e-03	-8.569455e-06
4.356777201000463e-03	-8.569455e-06
4.366777201000462e-03	-8.569455e-06
4.376777201000463e-03	-8.569455e-06
4.386777201000462e-03	-8.569455e-06
4.396777201000463e-03	-8.569455e-06
4.406777201000463e-03	-8.569455e-06
4.416777201000463e-03	-8.569455e-06
4.426777201000463e-03	-8.569455e-06
4.436777201000463e-03	-8.569455e-06
4.446777201000463e-03	-8.569455e-06
4.456777201000463e-03	-8.569455e-06
4.466777201000463e-03	-8.569455e-06
4.476777201000463e-03	-8.569455e-06
4.486777201000463e-03	-8.569455e-06
4.496777201000463e-03	-8.569455e-06
4.506777201000463e-03	-8.569455e-06
4.516777201000462e-03	-8.569455e-06
4.526777201000463e-03	-8.569455e-06
4.536777201000462e-03	-8.569455e-06
4.546777201000463e-03	-8.569455e-06
4.556777201000463e-03	-8.569455e-06
4.566777201000463e-03	-8.569455e-06
4.576777201000463e-03	-8.569455e-06
4.586777201000463e-03	-8.569455e-06
4.596777201000463e-03	-8.569455e-06
4.606777201000463e-03	-8.569455e-06
4.616777201000463e-03	-8.569455e-06
4.626777201000463e-03	-8.569455e-06
4.636777201000463e-03	-8.569455e-06
4.646777201000463e-03	-8.569455e-06
4.656777201000463e-03	-8.569455e-06
4.666777201000463e-03	-8.569455e-06
4.676777201000463e-03	-8.569455e-06
4.686777201000462e-03	-8.569455e-06
4.696777201000463e-03	-8.569455e-06
4.706777201000462e-03	-8.569455e-06
4.716777201000463e-03	-8.569455e-06
4.726777201000463e-03	-8.569455e-06
4.736777201000463e-03	-8.569455e-06
4.746777201000463e-03	-8.569455e-06
4.756777201000463e-03	-8.569455e-06
4.766777201000463e-03	-8.569455e-06
4.776777201000463e-03	-8.569455e-06
4.786777201000463e-03	-8.569455e-06
4.796777201000463e-03	-8.569455e-06
4.806777201000463e-03	-8.569455e-06
4.816777201000463e-03	-8.569455e-06
4.826777201000463e-03	-8.569455e-06
4.836777201000462e-03	-8.569455e-06
4.846777201000463e-03	-8.569455e-06
4.856777201000462e-03	-8.569455e-06
4.866777201000463e-03	-8.569455e-06
4.876777201000462e-03	-8.569455e-06
4.886777201000463e-03	-8.569455e-06
4.896777201000463e-03	-8.569455e-06
4.906777201000463e-03	-8.569455e-06
4.916777201000463e-03	-8.569455e-06
4.926777201000463e-03	-8.569455e-06
4.936777201000463e-03	-8.569455e-06
4.946777201000463e-03	-8.569455e-06
4.956777201000463e-03	-8.569455e-06
4.966777201000463e-03	-8.569455e-06
4.976777201000463e-03	-8.569455e-06
4.986777201000463e-03	-8.569455e-06
4.996777201000463e-03	-8.569455e-06
5.006777201000462e-03	-8.569455e-06
5.016777201000463e-03	-8.569455e-06
5.026777201000462e-03	-8.569455e-06
5.036777201000463e-03	-8.569455e-06
5.046777201000462e-03	-8.569455e-06
5.056777201000463e-03	-8.569455e-06
5.066777201000463e-03	-8.569455e-06
5.076777201000463e-03	-8.569455e-06
5.086777201000463e-03	-8.569455e-06
5.096777201000463e-03	-8.569455e-06
5.106777201000463e-03	-8.569455e-06
5.116777201000463e-03	-8.569455e-06
5.126777201000463e-03	-8.569455e-06
5.136777201000463e-03	-8.569455e-06
5.146777201000463e-03	-8.569455e-06
5.156777201000462e-03	-8.569455e-06
5.166777201000463e-03	-8.569455e-06
5.176777201000462e-03	-8.569455e-06
5.186777201000463e-03	-8.569455e-06
5.196777201000462e-03	-8.569455e-06
5.206777201000463e-03	-8.569455e-06
5.216777201000463e-03	-8.569455e-06
5.226777201000463e-03	-8.569455e-06
5.236777201000463e-03	-8.569455e-06
5.246777201000463e-03	-8.569455e-06
5.256777201000463e-03	-8.569455e-06
5.266777201000463e-03	-8.569455e-06
5.276777201000463e-03	-8.569455e-06
5.286777201000463e-03	-8.569455e-06
5.296777201000463e-03	-8.569455e-06
5.306777201000463e-03	-8.569455e-06
5.316777201000463e-03	-8.569455e-06
5.326777201000462e-03	-8.569455e-06
5.336777201000463e-03	-8.569455e-06
5.346777201000462e-03	-8.569455e-06
5.356777201000463e-03	-8.569455e-06
5.366777201000462e-03	-8.569455e-06
5.376777201000463e-03	-8.569455e-06
5.386777201000463e-03	-8.569455e-06
5.396777201000463e-03	-8.569455e-06
5.406777201000463e-03	-8.569455e-06
5.416777201000463e-03	-8.569455e-06
5.426777201000463e-03	-8.569455e-06
5.436777201000463e-03	-8.569455e-06
5.446777201000463e-03	-8.569455e-06
5.456777201000463e-03	-8.569455e-06
5.466777201000463e-03	-8.569455e-06
5.476777201000462e-03	-8.569455e-06
5.486777201000463e-03	-8.569455e-06
5.496777201000462e-03	-8.569455e-06
5.506777201000463e-03	-8.569455e-06
5.516777201000462e-03	-8.569455e-06
5.526777201000463e-03	-8.569455e-06
5.536777201000462e-03	-8.569455e-06
5.546777201000463e-03	-8.569455e-06
5.556777201000463e-03	-8.569455e-06
5.566777201000463e-03	-8.569455e-06
5.576777201000463e-03	-8.569455e-06
5.586777201000463e-03	-8.569455e-06
5.596777201000463e-03	-8.569455e-06
5.606777201000463e-03	-8.569455e-06
5.616777201000463e-03	-8.569455e-06
5.626777201000463e-03	-8.569455e-06
5.636777201000463e-03	-8.569455e-06
5.646777201000462e-03	-8.569455e-06
5.656777201000463e-03	-8.569455e-06
5.666777201000462e-03	-8.569455e-06
5.676777201000463e-03	-8.569455e-06
5.686777201000462e-03	-8.569455e-06
5.696777201000463e-03	-8.569455e-06
5.706777201000462e-03	-8.569455e-06
5.716777201000463e-03	-8.569455e-06
5.726777201000463e-03	-8.569455e-06
5.736777201000463e-03	-8.569455e-06
5.746777201000463e-03	-8.569455e-06
5.756777201000463e-03	-8.569455e-06
5.766777201000463e-03	-8.569455e-06
5.776777201000463e-03	-8.569455e-06
5.786777201000463e-03	-8.569455e-06
5.796777201000462e-03	-8.569455e-06
5.806777201000463e-03	-8.569455e-06
5.816777201000462e-03	-8.569455e-06
5.826777201000463e-03	-8.569455e-06
5.836777201000462e-03	-8.569455e-06
5.846777201000463e-03	-8.569455e-06
5.856777201000462e-03	-8.569455e-06
5.866777201000463e-03	-8.569455e-06
5.876777201000462e-03	-8.569455e-06
5.886777201000463e-03	-8.569455e-06
5.896777201000463e-03	-8.569455e-06
5.906777201000463e-03	-8.569455e-06
5.916777201000463e-03	-8.569455e-06
5.926777201000463e-03	-8.569455e-06
5.936777201000463e-03	-8.569455e-06
5.946777201000463e-03	-8.569455e-06
5.956777201000463e-03	-8.569455e-06
5.966777201000462e-03	-8.569455e-06
5.976777201000463e-03	-8.569455e-06
5.986777201000462e-03	-8.569455e-06
5.996777201000463e-03	-8.569455e-06
6.006777201000462e-03	-8.569455e-06
6.016777201000463e-03	-8.569455e-06
6.026777201000462e-03	-8.569455e-06
6.036777201000463e-03	-8.569455e-06
6.046777201000463e-03	-8.569455e-06
6.056777201000463e-03	-8.569455e-06
6.066777201000463e-03	-8.569455e-06
6.076777201000463e-03	-8.569455e-06
6.086777201000463e-03	-8.569455e-06
6.096777201000463e-03	-8.569455e-06
6.106777201000463e-03	-8.569455e-06
6.116777201000462e-03	-8.569455e-06
6.126777201000463e-03	-8.569455e-06
6.136777201000462e-03	-8.569455e-06
6.146777201000463e-03	-8.569455e-06
6.156777201000462e-03	-8.569455e-06
6.166777201000463e-03	-8.569455e-06
6.176777201000462e-03	-8.569455e-06
6.186777201000463e-03	-8.569455e-06
