time	Ix(M3:D)
1.197677720200402e-02	-8.206706e-06
1.198677720200402e-02	-8.199904e-06
1.199677720200402e-02	-8.193221e-06
1.200677720200402e-02	-8.186657e-06
1.201677720200402e-02	-8.180215e-06
1.202677720200402e-02	-8.173895e-06
1.203677720200402e-02	-8.167701e-06
1.204677720200402e-02	-8.161633e-06
1.205677720200402e-02	-8.155692e-06
1.206677720200402e-02	-8.149883e-06
1.207677720200402e-02	-8.144207e-06
1.208677720200402e-02	-8.138666e-06
1.209677720200402e-02	-8.133262e-06
1.210677720200402e-02	-8.127998e-06
1.211677720200402e-02	-8.122877e-06
1.212677720200402e-02	-8.117901e-06
1.213677720200402e-02	-8.113069e-06
1.214677720200402e-02	-8.108387e-06
1.215677720200402e-02	-8.103854e-06
1.216677720200402e-02	-8.099471e-06
1.217677720200402e-02	-8.095237e-06
1.218677720200402e-02	-8.091150e-06
1.219677720200402e-02	-8.087210e-06
1.220677720200402e-02	-8.083410e-06
1.221677720200402e-02	-8.079744e-06
1.222677720200402e-02	-8.076204e-06
1.223677720200402e-02	-8.072779e-06
1.224677720200402e-02	-8.069455e-06
1.225677720200402e-02	-8.066218e-06
1.226677720200402e-02	-8.063049e-06
1.227677720200402e-02	-8.059927e-06
1.228677720200402e-02	-8.056832e-06
1.229677720200402e-02	-8.053738e-06
1.230677720200402e-02	-8.050626e-06
1.231677720200402e-02	-8.047473e-06
1.232677720200402e-02	-8.044258e-06
1.233677720200402e-02	-8.040965e-06
1.234677720200402e-02	-8.037581e-06
1.235677720200402e-02	-8.034098e-06
1.236677720200402e-02	-8.030510e-06
1.237677720200402e-02	-8.026818e-06
1.238677720200402e-02	-8.023027e-06
1.239677720200402e-02	-8.019142e-06
1.240677720200402e-02	-8.015177e-06
1.241677720200402e-02	-8.011143e-06
1.242677720200402e-02	-8.007055e-06
1.243677720200402e-02	-8.002928e-06
1.244677720200402e-02	-7.998775e-06
1.245677720200402e-02	-7.994614e-06
1.246677720200402e-02	-7.990457e-06
1.247677720200402e-02	-7.986318e-06
1.248677720200402e-02	-7.982208e-06
1.249677720200402e-02	-7.978138e-06
1.250677720200402e-02	-7.974120e-06
1.251677720200402e-02	-7.970160e-06
1.252677720200402e-02	-7.966268e-06
1.253677720200402e-02	-7.962448e-06
1.254677720200402e-02	-7.958706e-06
1.255677720200402e-02	-7.955048e-06
1.256677720200402e-02	-7.951477e-06
1.257677720200402e-02	-7.947995e-06
1.258677720200402e-02	-7.944607e-06
1.259677720200402e-02	-7.941312e-06
1.260677720200402e-02	-7.938113e-06
1.261677720200402e-02	-7.935012e-06
1.262677720200402e-02	-7.932007e-06
1.263677720200402e-02	-7.929100e-06
1.264677720200402e-02	-7.926292e-06
1.265677720200402e-02	-7.923580e-06
1.266677720200402e-02	-7.920965e-06
1.267677720200402e-02	-7.918446e-06
1.268677720200402e-02	-7.916022e-06
1.269677720200402e-02	-7.913692e-06
1.270677720200402e-02	-7.911454e-06
1.271677720200402e-02	-7.909308e-06
1.272677720200402e-02	-7.907252e-06
1.273677720200402e-02	-7.905282e-06
1.274677720200402e-02	-7.903401e-06
1.275677720200402e-02	-7.901604e-06
1.276677720200402e-02	-7.899889e-06
1.277677720200402e-02	-7.898256e-06
1.278677720200402e-02	-7.896700e-06
1.279677720200402e-02	-7.895222e-06
1.280677720200402e-02	-7.893819e-06
1.281677720200402e-02	-7.892489e-06
1.282677720200402e-02	-7.891229e-06
1.283677720200402e-02	-7.890038e-06
1.284677720200402e-02	-7.888913e-06
1.285677720200402e-02	-7.887853e-06
1.286677720200402e-02	-7.886855e-06
1.287677720200402e-02	-7.885917e-06
1.288677720200402e-02	-7.885037e-06
1.289677720200402e-02	-7.884213e-06
1.290677720200402e-02	-7.883443e-06
1.291677720200402e-02	-7.882724e-06
1.292677720200402e-02	-7.882056e-06
1.293677720200402e-02	-7.881435e-06
1.294677720200402e-02	-7.880859e-06
1.295677720200402e-02	-7.880328e-06
1.296677720200402e-02	-7.879838e-06
1.297677720200402e-02	-7.879388e-06
1.298677720200402e-02	-7.878976e-06
1.299677720200402e-02	-7.878601e-06
1.300677720200402e-02	-7.878260e-06
1.301677720200402e-02	-7.877950e-06
1.302677720200402e-02	-7.877674e-06
1.303677720200402e-02	-7.877426e-06
1.304677720200402e-02	-7.877206e-06
1.305677720200402e-02	-7.877014e-06
1.306677720200402e-02	-7.876844e-06
1.307677720200402e-02	-7.876700e-06
1.308677720200402e-02	-7.876577e-06
1.309677720200402e-02	-7.876474e-06
1.310677720200402e-02	-7.876391e-06
1.311677720200402e-02	-7.876327e-06
1.312677720200402e-02	-7.876280e-06
1.313677720200402e-02	-7.876248e-06
1.314677720200402e-02	-7.876231e-06
1.315677720200402e-02	-7.876228e-06
1.316677720200402e-02	-7.876238e-06
1.317677720200402e-02	-7.876259e-06
1.318677720200402e-02	-7.876291e-06
1.319677720200402e-02	-7.876333e-06
1.320677720200402e-02	-7.876385e-06
1.321677720200402e-02	-7.876445e-06
1.322677720200402e-02	-7.876513e-06
1.323677720200402e-02	-7.876588e-06
1.324677720200402e-02	-7.876669e-06
1.325677720200402e-02	-7.876755e-06
1.326677720200402e-02	-7.876847e-06
1.327677720200402e-02	-7.876944e-06
1.328677720200402e-02	-7.877044e-06
1.329677720200402e-02	-7.877147e-06
1.330677720200402e-02	-7.877254e-06
1.331677720200402e-02	-7.877364e-06
1.332677720200402e-02	-7.877476e-06
1.333677720200402e-02	-7.877589e-06
1.334677720200402e-02	-7.877704e-06
1.335677720200402e-02	-7.877820e-06
1.336677720200402e-02	-7.877938e-06
1.337677720200402e-02	-7.878055e-06
1.338677720200402e-02	-7.878172e-06
1.339677720200402e-02	-7.878290e-06
1.340677720200402e-02	-7.878408e-06
1.341677720200402e-02	-7.878525e-06
1.342677720200402e-02	-7.878642e-06
1.343677720200402e-02	-7.878758e-06
1.344677720200402e-02	-7.878873e-06
1.345677720200402e-02	-7.878987e-06
1.346677720200402e-02	-7.879101e-06
1.347677720200402e-02	-7.879213e-06
1.348677720200402e-02	-7.879323e-06
1.349677720200402e-02	-7.879431e-06
1.350677720200402e-02	-7.879538e-06
1.351677720200402e-02	-7.879644e-06
1.352677720200402e-02	-7.879747e-06
1.353677720200402e-02	-7.879849e-06
1.354677720200402e-02	-7.879950e-06
1.355677720200401e-02	-7.880049e-06
1.356677720200402e-02	-7.880145e-06
1.357677720200402e-02	-7.880240e-06
1.358677720200402e-02	-7.880332e-06
1.359677720200402e-02	-7.880423e-06
1.360677720200402e-02	-7.880511e-06
1.361677720200402e-02	-7.880599e-06
1.362677720200402e-02	-7.880684e-06
1.363677720200402e-02	-7.880767e-06
1.364677720200402e-02	-7.880848e-06
1.365677720200402e-02	-7.880927e-06
1.366677720200402e-02	-7.881004e-06
1.367677720200402e-02	-7.881079e-06
1.368677720200402e-02	-7.881153e-06
1.369677720200402e-02	-7.881225e-06
1.370677720200402e-02	-7.881294e-06
1.371677720200402e-02	-7.881362e-06
1.372677720200401e-02	-7.881427e-06
1.373677720200402e-02	-7.881492e-06
1.374677720200402e-02	-7.881554e-06
1.375677720200402e-02	-7.881615e-06
1.376677720200402e-02	-7.881674e-06
1.377677720200402e-02	-7.881732e-06
1.378677720200402e-02	-7.881787e-06
1.379677720200402e-02	-7.881841e-06
1.380677720200402e-02	-7.881894e-06
1.381677720200402e-02	-7.881945e-06
1.382677720200402e-02	-7.881995e-06
1.383677720200402e-02	-7.882043e-06
1.384677720200402e-02	-7.882089e-06
1.385677720200402e-02	-7.882135e-06
1.386677720200402e-02	-7.882179e-06
1.387677720200402e-02	-7.882221e-06
1.388677720200402e-02	-7.882262e-06
1.389677720200401e-02	-7.882302e-06
1.390677720200402e-02	-7.882341e-06
1.391677720200402e-02	-7.882379e-06
1.392677720200402e-02	-7.882415e-06
1.393677720200402e-02	-7.882451e-06
1.394677720200402e-02	-7.882485e-06
1.395677720200402e-02	-7.882518e-06
1.396677720200402e-02	-7.882549e-06
1.397677720200402e-02	-7.882581e-06
1.398677720200402e-02	-7.882611e-06
1.399677720200402e-02	-7.882640e-06
1.400677720200402e-02	-7.882667e-06
1.401677720200402e-02	-7.882694e-06
1.402677720200402e-02	-7.882720e-06
1.403677720200402e-02	-7.882745e-06
1.404677720200402e-02	-7.882770e-06
1.405677720200402e-02	-7.882793e-06
1.406677720200402e-02	-7.882816e-06
1.407677720200402e-02	-7.882839e-06
1.408677720200402e-02	-7.882860e-06
1.409677720200402e-02	-7.882881e-06
1.410677720200402e-02	-7.882900e-06
1.411677720200402e-02	-7.882919e-06
1.412677720200402e-02	-7.882938e-06
1.413677720200402e-02	-7.882956e-06
1.414677720200402e-02	-7.882973e-06
1.415677720200402e-02	-7.882990e-06
1.416677720200402e-02	-7.883005e-06
1.417677720200402e-02	-7.883022e-06
1.418677720200402e-02	-7.883036e-06
1.419677720200401e-02	-7.883051e-06
1.420677720200402e-02	-7.883064e-06
1.421677720200402e-02	-7.883078e-06
1.422677720200402e-02	-7.883091e-06
1.423677720200402e-02	-7.883104e-06
