time	Ix(M3:S)
1.000061936221331e-02	-1.391028e-05
1.000083925101986e-02	-1.526046e-05
1.000118355096420e-02	-1.717168e-05
1.000178014341562e-02	-1.939072e-05
1.000250495157268e-02	-2.057010e-05
1.000264196014501e-02	-2.058506e-05
1.000291597728967e-02	-2.042381e-05
1.000346401157899e-02	-2.004455e-05
1.000456008015762e-02	-1.926089e-05
1.000675221731489e-02	-1.792200e-05
1.000947219981346e-02	-1.672068e-05
1.001364843820947e-02	-1.528030e-05
1.001755033682161e-02	-1.400498e-05
1.002032578568205e-02	-1.332141e-05
1.002167795162441e-02	-1.320522e-05
1.002254909615271e-02	-1.321931e-05
1.002341866836992e-02	-1.324517e-05
1.002430851603807e-02	-1.326973e-05
1.002540613343013e-02	-1.329692e-05
1.002662233913987e-02	-1.332506e-05
1.002792091209103e-02	-1.335143e-05
1.003007300108911e-02	-1.338723e-05
1.003211722094055e-02	-1.340628e-05
1.003620566064344e-02	-1.340155e-05
1.004137179308876e-02	-1.333527e-05
1.005137179308876e-02	-1.312301e-05
1.006137179308876e-02	-1.288653e-05
1.007137179308876e-02	-1.265876e-05
