time	V(out_1,N084)	V(out_2,out_1)	V(out_pos,N024)
3.049524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.059524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.069524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.079524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.089524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.099524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.109524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.119524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.129524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.139524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.149524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.159524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.169524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.179524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.189524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.199524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.209524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.219524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.229524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.239524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.249524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.259524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.269524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.279524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.289524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.299524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.309524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.319524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.329524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.339524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.349524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
