time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
1.699524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469931e-02
1.709524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468067e-02
1.719524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469929e-02
1.729524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468069e-02
1.739524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469927e-02
1.749524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468071e-02
1.759524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469925e-02
1.769524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468074e-02
1.779524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469923e-02
1.789524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468075e-02
1.799524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469921e-02
1.809524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468077e-02
1.819524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469919e-02
1.829524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468079e-02
1.839524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469917e-02
1.849524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468081e-02
1.859524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469915e-02
1.869524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468083e-02
1.879524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469914e-02
1.889524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468085e-02
1.899524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469912e-02
1.909524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468087e-02
1.919524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469910e-02
1.929524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468088e-02
1.939524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469908e-02
1.949524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468090e-02
1.959524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469906e-02
1.969524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468092e-02
1.979524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469905e-02
1.989524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468094e-02
1.999524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469903e-02
