time	V(N018,N016)	V(N050,N048)	V(N082,N074)
2.314260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.315260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.316260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.317260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.318260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.319260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.320260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.321260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.322260631953241e-02	3.278883e+00	3.278919e+00	3.278866e+00
2.323260631953241e-02	3.278878e+00	3.278851e+00	3.278919e+00
2.324260631953241e-02	3.278883e+00	3.278919e+00	3.278866e+00
2.325260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.326260631953241e-02	3.278883e+00	3.278919e+00	3.278866e+00
2.327260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.328260631953241e-02	3.278883e+00	3.278919e+00	3.278866e+00
2.329260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.330260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.331260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.332260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.333260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.334260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.335260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.336260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.337260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.338260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.339260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.340260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.341260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.342260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.343260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.344260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.345260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.346260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.347260631953241e-02	3.278878e+00	3.278851e+00	3.278918e+00
2.348260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.349260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.350260631953241e-02	3.278883e+00	3.278919e+00	3.278867e+00
2.351260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.352260631953241e-02	3.278884e+00	3.278919e+00	3.278867e+00
2.353260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.354260631953241e-02	3.278884e+00	3.278919e+00	3.278867e+00
2.355260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.356260631953241e-02	3.278884e+00	3.278919e+00	3.278867e+00
2.357260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.358260631953241e-02	3.278884e+00	3.278919e+00	3.278867e+00
2.359260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.360260631953241e-02	3.278884e+00	3.278919e+00	3.278867e+00
2.361260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.362260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.363260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.364260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.365260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.366260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.367260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.368260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.369260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.370260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.371260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.372260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.373260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.374260631953241e-02	3.278884e+00	3.278918e+00	3.278867e+00
2.375260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.376260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.377260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.378260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.379260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.380260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.381260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.382260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.383260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.384260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.385260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.386260631953241e-02	3.278883e+00	3.278918e+00	3.278867e+00
2.387260631953241e-02	3.278878e+00	3.278852e+00	3.278918e+00
2.388260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.389260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.390260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.391260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.392260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.393260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.394260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.395260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.396260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.397260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.398260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.399260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.400260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.401260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.402260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.403260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.404260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.405260631953241e-02	3.278877e+00	3.278853e+00	3.278918e+00
2.406260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.407260631953241e-02	3.278878e+00	3.278853e+00	3.278917e+00
2.408260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.409260631953241e-02	3.278878e+00	3.278853e+00	3.278917e+00
2.410260631953241e-02	3.278883e+00	3.278917e+00	3.278867e+00
2.411260631953241e-02	3.278878e+00	3.278853e+00	3.278917e+00
2.412260631953241e-02	3.278883e+00	3.278917e+00	3.278868e+00
2.413260631953241e-02	3.278878e+00	3.278853e+00	3.278917e+00
2.414260631953241e-02	3.278883e+00	3.278917e+00	3.278868e+00
2.415260631953241e-02	3.278878e+00	3.278853e+00	3.278917e+00
2.416260631953241e-02	3.278883e+00	3.278916e+00	3.278868e+00
2.417260631953241e-02	3.278878e+00	3.278854e+00	3.278917e+00
2.418260631953241e-02	3.278883e+00	3.278916e+00	3.278868e+00
2.419260631953241e-02	3.278878e+00	3.278854e+00	3.278917e+00
2.420260631953241e-02	3.278883e+00	3.278916e+00	3.278868e+00
