time	Ix(Sgnd12:D)
1.416677720200402e-02	-7.746795e-06
1.417677720200402e-02	-7.746794e-06
1.418677720200402e-02	-7.746794e-06
1.419677720200401e-02	-7.746793e-06
1.420677720200402e-02	-7.746793e-06
1.421677720200402e-02	-7.746792e-06
1.422677720200402e-02	-7.746791e-06
1.423677720200402e-02	-7.746791e-06
1.424677720200402e-02	-7.746790e-06
1.425677720200402e-02	-7.746790e-06
1.426677720200402e-02	-7.746789e-06
1.427677720200402e-02	-7.746789e-06
1.428677720200402e-02	-7.746788e-06
1.429677720200402e-02	-7.746788e-06
1.430677720200402e-02	-7.746788e-06
1.431677720200402e-02	-7.746788e-06
1.432677720200402e-02	-7.746787e-06
1.433677720200402e-02	-7.746787e-06
1.434677720200402e-02	-7.746786e-06
1.435677720200402e-02	-7.746786e-06
1.436677720200401e-02	-7.746785e-06
1.437677720200402e-02	-7.746785e-06
1.438677720200402e-02	-7.746784e-06
1.439677720200402e-02	-7.746784e-06
1.440677720200402e-02	-7.746784e-06
1.441677720200402e-02	-7.746783e-06
1.442677720200402e-02	-7.746783e-06
1.443677720200402e-02	-7.746782e-06
1.444677720200402e-02	-7.746782e-06
1.445677720200402e-02	-7.746782e-06
1.446677720200402e-02	-7.746781e-06
1.447677720200402e-02	-7.746781e-06
1.448677720200402e-02	-7.746780e-06
1.449677720200402e-02	-7.746780e-06
1.450677720200402e-02	-7.746780e-06
1.451677720200402e-02	-7.746779e-06
1.452677720200402e-02	-7.746779e-06
1.453677720200401e-02	-7.746779e-06
1.454677720200402e-02	-7.746778e-06
1.455677720200402e-02	-7.746778e-06
1.456677720200402e-02	-7.746778e-06
1.457677720200402e-02	-7.746778e-06
1.458677720200402e-02	-7.746778e-06
1.459677720200402e-02	-7.746778e-06
1.460677720200402e-02	-7.746777e-06
1.461677720200402e-02	-7.746777e-06
1.462677720200402e-02	-7.746777e-06
1.463677720200402e-02	-7.746776e-06
1.464677720200402e-02	-7.746776e-06
1.465677720200402e-02	-7.746776e-06
1.466677720200402e-02	-7.746775e-06
1.467677720200402e-02	-7.746775e-06
1.468677720200402e-02	-7.746775e-06
1.469677720200402e-02	-7.746775e-06
1.470677720200401e-02	-7.746774e-06
1.471677720200402e-02	-7.746774e-06
1.472677720200402e-02	-7.746774e-06
1.473677720200402e-02	-7.746774e-06
1.474677720200402e-02	-7.746773e-06
1.475677720200402e-02	-7.746773e-06
1.476677720200402e-02	-7.746773e-06
1.477677720200402e-02	-7.746773e-06
1.478677720200402e-02	-7.746772e-06
1.479677720200402e-02	-7.746772e-06
1.480677720200402e-02	-7.746772e-06
1.481677720200402e-02	-7.746772e-06
1.482677720200402e-02	-7.746771e-06
1.483677720200401e-02	-7.746771e-06
1.484677720200402e-02	-7.746771e-06
1.485677720200402e-02	-7.746771e-06
1.486677720200402e-02	-7.746770e-06
1.487677720200401e-02	-7.746770e-06
1.488677720200402e-02	-7.746770e-06
1.489677720200402e-02	-7.746770e-06
1.490677720200402e-02	-7.746770e-06
1.491677720200402e-02	-7.746770e-06
1.492677720200402e-02	-7.746769e-06
1.493677720200402e-02	-7.746769e-06
1.494677720200402e-02	-7.746768e-06
1.495677720200402e-02	-7.746768e-06
1.496677720200402e-02	-7.746768e-06
1.497677720200402e-02	-7.746768e-06
1.498677720200402e-02	-7.746768e-06
1.499677720200402e-02	-7.746768e-06
1.500677720200401e-02	-7.746768e-06
