time	V(n001)	I(Cij)
3.048300050230538e-06	3.299984e+00	-3.312607e-03
3.060427798352541e-06	3.299984e+00	-3.312655e-03
3.072546548564024e-06	3.299984e+00	-3.312365e-03
3.083221876496177e-06	3.299984e+00	-3.312517e-03
3.095005195207104e-06	3.299984e+00	-3.312698e-03
3.109750908186728e-06	3.299984e+00	-3.312394e-03
3.121836467720361e-06	3.299984e+00	-3.312473e-03
3.134539413982677e-06	3.299984e+00	-3.312698e-03
3.148291915314168e-06	3.299984e+00	-3.312421e-03
3.161664797812203e-06	3.299984e+00	-3.312449e-03
3.174226038387644e-06	3.299984e+00	-3.312693e-03
3.186922800891022e-06	3.299984e+00	-3.312450e-03
3.199815923813552e-06	3.299984e+00	-3.312411e-03
3.212593175685338e-06	3.299984e+00	-3.312682e-03
3.224222126820380e-06	3.299984e+00	-3.312497e-03
3.236724069477883e-06	3.299984e+00	-3.312373e-03
3.250884133270961e-06	3.299984e+00	-3.312662e-03
3.262696961641672e-06	3.299984e+00	-3.312533e-03
3.275599454021323e-06	3.299984e+00	-3.312357e-03
3.291777275174729e-06	3.299984e+00	-3.312649e-03
3.305009347114379e-06	3.299984e+00	-3.312528e-03
3.318812993005113e-06	3.299984e+00	-3.312359e-03
3.336564096444405e-06	3.299984e+00	-3.312655e-03
3.350703031718924e-06	3.299984e+00	-3.312492e-03
3.365396578867498e-06	3.299984e+00	-3.312378e-03
3.384788918975402e-06	3.299984e+00	-3.312663e-03
3.399967221535670e-06	3.299984e+00	-3.312431e-03
3.415931964838460e-06	3.299984e+00	-3.312430e-03
3.432602670759032e-06	3.299984e+00	-3.312656e-03
3.449075350397432e-06	3.299984e+00	-3.312379e-03
3.465450536738411e-06	3.299984e+00	-3.312491e-03
3.480347187174962e-06	3.299984e+00	-3.312633e-03
3.501159000119740e-06	3.299984e+00	-3.312343e-03
3.517243230995879e-06	3.299984e+00	-3.312560e-03
3.533856440016835e-06	3.299984e+00	-3.312564e-03
3.552189573639808e-06	3.299984e+00	-3.312344e-03
3.570290613503613e-06	3.299984e+00	-3.312622e-03
3.602713974786980e-06	3.299984e+00	-3.312376e-03
3.624299625368273e-06	3.299984e+00	-3.312640e-03
3.641690840450122e-06	3.299984e+00	-3.312387e-03
3.659725203828082e-06	3.299984e+00	-3.312469e-03
3.677291687949774e-06	3.299984e+00	-3.312610e-03
3.700965893996441e-06	3.299984e+00	-3.312334e-03
3.719584957492744e-06	3.299984e+00	-3.312578e-03
3.738641903075110e-06	3.299984e+00	-3.312497e-03
3.757856285341213e-06	3.299984e+00	-3.312364e-03
3.784447566054343e-06	3.299984e+00	-3.312627e-03
3.805386549632383e-06	3.299984e+00	-3.312361e-03
3.826716230841525e-06	3.299984e+00	-3.312506e-03
3.847061195890143e-06	3.299984e+00	-3.312553e-03
3.872540383771496e-06	3.299984e+00	-3.312340e-03
3.896018039989157e-06	3.299984e+00	-3.312614e-03
3.916691153849573e-06	3.299984e+00	-3.312394e-03
3.937714352017722e-06	3.299984e+00	-3.312448e-03
3.958960908340399e-06	3.299984e+00	-3.312582e-03
3.987876434710904e-06	3.299984e+00	-3.312327e-03
4.011008885772921e-06	3.299984e+00	-3.312592e-03
4.034457667063643e-06	3.299984e+00	-3.312414e-03
4.056451711710032e-06	3.299984e+00	-3.312421e-03
4.081730646554416e-06	3.299984e+00	-3.312580e-03
4.110854551595119e-06	3.299984e+00	-3.312323e-03
4.135162363700788e-06	3.299984e+00	-3.312583e-03
4.159747345039230e-06	3.299984e+00	-3.312408e-03
4.182572925689777e-06	3.299984e+00	-3.312421e-03
4.209250828883138e-06	3.299984e+00	-3.312567e-03
4.241456030187693e-06	3.299984e+00	-3.312322e-03
4.268401088573764e-06	3.299984e+00	-3.312587e-03
4.295584067861654e-06	3.299984e+00	-3.312375e-03
4.320361832408719e-06	3.299984e+00	-3.312454e-03
4.347043135989265e-06	3.299984e+00	-3.312531e-03
4.387421314922667e-06	3.299984e+00	-3.312338e-03
4.422987686017759e-06	3.299984e+00	-3.312587e-03
4.458783058955975e-06	3.299984e+00	-3.312319e-03
4.491078394803674e-06	3.299984e+00	-3.312545e-03
4.552909153376191e-06	3.299984e+00	-3.312414e-03
4.590608789568268e-06	3.299984e+00	-3.312529e-03
4.640450638942509e-06	3.299984e+00	-3.312330e-03
4.688599230756170e-06	3.299984e+00	-3.312573e-03
4.732922655143847e-06	3.299984e+00	-3.312306e-03
4.775601410427438e-06	3.299984e+00	-3.312559e-03
4.814050581946966e-06	3.299984e+00	-3.312352e-03
4.890498136438516e-06	3.299984e+00	-3.312455e-03
4.937818952693043e-06	3.299984e+00	-3.312371e-03
5.014759489345139e-06	3.299984e+00	-3.312516e-03
5.229832850488308e-06	3.299984e+00	-3.312293e-03
5.288813845431742e-06	3.299984e+00	-3.312555e-03
5.340429230476339e-06	3.299984e+00	-3.312296e-03
5.386664277928468e-06	3.299984e+00	-3.312519e-03
5.433505822838977e-06	3.299984e+00	-3.312353e-03
5.527725332591441e-06	3.299984e+00	-3.312437e-03
5.593192072073905e-06	3.299984e+00	-3.312359e-03
5.696558339191502e-06	3.299984e+00	-3.312481e-03
5.859109306563418e-06	3.299984e+00	-3.312448e-03
6.021660273935333e-06	3.299984e+00	-3.312420e-03
6.184211241307249e-06	3.299984e+00	-3.312398e-03
6.346762208679165e-06	3.299984e+00	-3.312381e-03
6.509313176051080e-06	3.299984e+00	-3.312369e-03
6.671864143422996e-06	3.299984e+00	-3.312363e-03
6.834415110794911e-06	3.299984e+00	-3.312362e-03
6.920393553478166e-06	3.299984e+00	-3.312365e-03
7.039413468119588e-06	3.299984e+00	-3.312398e-03
7.277453297402432e-06	3.299984e+00	-3.312330e-03
8.286649885725099e-06	3.299984e+00	-3.312398e-03
8.745339611059269e-06	3.299984e+00	-3.312282e-03
9.298331455196024e-06	3.299984e+00	-3.312403e-03
9.976758675317022e-06	3.299984e+00	-3.312310e-03
1.082393684945608e-05	3.299984e+00	-3.312580e-03
1.193752257091898e-05	3.299984e+00	-3.313038e-03
1.347196534234054e-05	3.299984e+00	-3.315156e-03
1.552934389723148e-05	3.299984e+00	-3.318919e-03
1.694274554162519e-05	3.299984e+00	-3.321793e-03
1.862553094595122e-05	3.299984e+00	-3.324647e-03
2.066728816058614e-05	3.299984e+00	-3.327856e-03
2.363577613504954e-05	3.299984e+00	-3.331006e-03
2.598096903610014e-05	3.299984e+00	-3.332772e-03
2.807701528902458e-05	3.299984e+00	-3.332997e-03
3.037299705545574e-05	3.299984e+00	-3.333108e-03
4.999675064777045e-05	3.299985e+00	-3.332016e-03
6.962050424008517e-05	3.299986e+00	-3.330986e-03
8.924425783239988e-05	3.299987e+00	-3.330018e-03
1.088680114247146e-04	3.299987e+00	-3.329113e-03
1.284917650170293e-04	3.299988e+00	-3.328269e-03
1.481155186093440e-04	3.299988e+00	-3.327487e-03
1.677392722016587e-04	3.299988e+00	-3.326768e-03
2.992156187683083e-04	3.299989e+00	-3.322158e-03
5.500123534422673e-04	3.299990e+00	-3.316699e-03
8.586138446737677e-04	3.299991e+00	-3.312804e-03
1.227684578791626e-03	3.299991e+00	-3.310740e-03
1.668783935743355e-03	3.299991e+00	-3.309970e-03
2.275432302835492e-03	3.299991e+00	-3.323665e-03
3.132860604472053e-03	3.299991e+00	-3.576737e-03
4.132860604472053e-03	3.299986e+00	-5.355039e-03
5.132860604472053e-03	3.299974e+00	-9.924111e-03
6.132860604472053e-03	3.299957e+00	-1.636565e-02
7.132860604472053e-03	3.299941e+00	-2.268273e-02
8.132860604472053e-03	3.299927e+00	-2.767490e-02
9.132860604472054e-03	3.299918e+00	-3.114795e-02
1.000000000000000e-02	3.299913e+00	-3.314001e-02
1.000000000100000e-02	3.299913e+00	-3.314001e-02
1.000000000200000e-02	3.299913e+00	-3.314028e-02
1.000000000286331e-02	3.299913e+00	-3.314028e-02
1.000000000867533e-02	3.299913e+00	-3.314028e-02
1.000000001448735e-02	3.299913e+00	-3.314028e-02
1.000000002029937e-02	3.299913e+00	-3.314028e-02
1.000000002611139e-02	3.299913e+00	-3.314028e-02
1.000000003192341e-02	3.299913e+00	-3.314028e-02
1.000000003773543e-02	3.299913e+00	-3.314029e-02
1.000000004354745e-02	3.299913e+00	-3.314029e-02
1.000000008120876e-02	3.299913e+00	-3.314029e-02
1.000000015653136e-02	3.299913e+00	-3.314031e-02
1.000000030717658e-02	3.299913e+00	-3.314039e-02
1.000000037594193e-02	3.299913e+00	-3.314066e-02
1.000000042366839e-02	3.299913e+00	-3.314075e-02
1.000000044464988e-02	3.299913e+00	-3.314077e-02
1.000000047155733e-02	3.299913e+00	-3.314077e-02
1.000000050120701e-02	3.299913e+00	-3.314078e-02
1.000000055842166e-02	3.299913e+00	-3.314078e-02
1.000000121940971e-02	3.299913e+00	-3.314079e-02
1.000000188039775e-02	3.299913e+00	-3.314082e-02
1.000000254138580e-02	3.299913e+00	-3.314088e-02
1.000000320237384e-02	3.299913e+00	-3.314096e-02
1.000000386336189e-02	3.299913e+00	-3.314106e-02
1.000000452434993e-02	3.299913e+00	-3.314119e-02
1.000000518533798e-02	3.299913e+00	-3.314133e-02
1.000000830182002e-02	3.299913e+00	-3.314218e-02
1.000001453478411e-02	3.299913e+00	-3.314365e-02
1.000002700071230e-02	3.299913e+00	-3.314384e-02
1.000005193256866e-02	3.299913e+00	-3.314539e-02
1.000008968340778e-02	3.299913e+00	-3.314998e-02
1.000014941776829e-02	3.299913e+00	-3.315376e-02
1.000021462091611e-02	3.299913e+00	-3.316166e-02
1.000027225601840e-02	3.299913e+00	-3.316556e-02
1.000032347615149e-02	3.299913e+00	-3.317214e-02
1.000037101994186e-02	3.299913e+00	-3.317567e-02
1.000041580528799e-02	3.299913e+00	-3.318078e-02
1.000045844890797e-02	3.299913e+00	-3.318491e-02
1.000049967985881e-02	3.299913e+00	-3.318838e-02
1.000054328463263e-02	3.299913e+00	-3.319369e-02
1.000058363745844e-02	3.299913e+00	-3.319608e-02
1.000062433787564e-02	3.299913e+00	-3.320154e-02
1.000066324997606e-02	3.299913e+00	-3.320366e-02
1.000070312907882e-02	3.299913e+00	-3.320847e-02
1.000074217139765e-02	3.299913e+00	-3.321141e-02
1.000078099867667e-02	3.299913e+00	-3.321484e-02
1.000082041221336e-02	3.299913e+00	-3.321898e-02
1.000085834491606e-02	3.299913e+00	-3.322109e-02
1.000090153338653e-02	3.299913e+00	-3.322626e-02
1.000094353341598e-02	3.299913e+00	-3.322826e-02
1.000098953668813e-02	3.299913e+00	-3.323342e-02
1.000103593999904e-02	3.299913e+00	-3.323613e-02
1.000108810126694e-02	3.299913e+00	-3.324090e-02
1.000114355045859e-02	3.299913e+00	-3.324501e-02
1.000120801586168e-02	3.299913e+00	-3.324967e-02
1.000128056403634e-02	3.299913e+00	-3.325557e-02
1.000136930575247e-02	3.299913e+00	-3.326106e-02
1.000147655747974e-02	3.299913e+00	-3.326944e-02
1.000161719993027e-02	3.299913e+00	-3.327744e-02
1.000180211950479e-02	3.299913e+00	-3.328994e-02
1.000206603738296e-02	3.299913e+00	-3.330307e-02
1.000234235340282e-02	3.299913e+00	-3.331744e-02
1.000265907860941e-02	3.299913e+00	-3.332819e-02
1.000294981005487e-02	3.299913e+00	-3.333792e-02
1.000333867576296e-02	3.299912e+00	-3.334303e-02
1.000375934379485e-02	3.299912e+00	-3.334536e-02
1.000430395450499e-02	3.299912e+00	-3.333560e-02
1.000490252523901e-02	3.299912e+00	-3.331610e-02
1.000585796912311e-02	3.299915e+00	-3.251701e-02
1.000702583529465e-02	3.299925e+00	-2.864285e-02
1.000814589295408e-02	3.299941e+00	-2.243188e-02
1.000880753111123e-02	3.299951e+00	-1.855664e-02
1.000964957481902e-02	3.299963e+00	-1.419122e-02
1.001059775678483e-02	3.299973e+00	-1.039852e-02
1.001183839997877e-02	3.299981e+00	-7.152902e-03
1.001262617177056e-02	3.299984e+00	-5.866983e-03
1.001334367122748e-02	3.299987e+00	-5.060434e-03
1.001415949408890e-02	3.299988e+00	-4.445842e-03
1.001499709253008e-02	3.299989e+00	-4.037213e-03
1.001581114495481e-02	3.299990e+00	-3.786100e-03
1.001684713901611e-02	3.299990e+00	-3.590613e-03
1.001794947062141e-02	3.299991e+00	-3.477836e-03
1.001949525909208e-02	3.299991e+00	-3.398858e-03
