time	I(B1)	I(Rfuse2)	I(Rfuse_1)
1.000000241597921e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000000453308643e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000000876730086e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000001723572973e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000003417258746e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000006804630294e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000013579373388e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000027128859577e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000054227831955e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000108425776711e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000216821666223e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000433613445247e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.000867197003294e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.001734364119389e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.003468698351579e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.006937366815958e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.013874703744716e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.023874703744716e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.033874703744716e-02	5.000000e-01	2.498394e-01	2.496432e-01
1.043874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.053874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.063874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.073874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.083874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.093874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.103874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.113874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.123874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.133874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.143874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.153874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.163874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.173874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.183874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.193874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.203874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.213874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.223874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.233874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.243874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.253874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.263874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.273874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.283874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.293874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.303874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.313874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.323874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.333874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.343874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.353874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.363874703744716e-02	5.000000e-01	2.498394e-01	2.496433e-01
1.373874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.383874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.393874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.403874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.413874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.423874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.433874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.443874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.453874703744716e-02	5.000000e-01	2.498393e-01	2.496433e-01
1.463874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.473874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.483874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.493874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.503874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.513874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.523874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.533874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.543874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.553874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.563874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.573874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.583874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.593874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.603874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.613874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.623874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.633874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.643874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.653874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.663874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.673874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.683874703744716e-02	5.000000e-01	2.498393e-01	2.496434e-01
1.693874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.703874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.713874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.723874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.733874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.743874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.753874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.763874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.773874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.783874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.793874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.803874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
1.813874703744716e-02	5.000000e-01	2.498392e-01	2.496434e-01
