time	I(Vgnd)
1.113874806951440e-02	1.549219e-06
1.114874806951440e-02	1.508578e-06
1.115874806951440e-02	1.469093e-06
1.116874806951440e-02	1.430710e-06
1.117874806951440e-02	1.393417e-06
1.118874806951440e-02	1.357164e-06
1.119874806951440e-02	1.321940e-06
1.120874806951440e-02	1.287695e-06
1.121874806951440e-02	1.254422e-06
1.122874806951440e-02	1.222072e-06
1.123874806951440e-02	1.190638e-06
1.124874806951440e-02	1.160075e-06
1.125874806951440e-02	1.130376e-06
1.126874806951440e-02	1.101498e-06
1.127874806951440e-02	1.073437e-06
1.128874806951440e-02	1.046148e-06
1.129874806951440e-02	1.019630e-06
1.130874806951440e-02	9.938411e-07
1.131874806951440e-02	9.687793e-07
1.132874806951440e-02	9.444041e-07
1.133874806951440e-02	9.207156e-07
1.134874806951440e-02	8.976743e-07
1.135874806951440e-02	8.752812e-07
1.136874806951440e-02	8.534980e-07
1.137874806951440e-02	8.323267e-07
1.138874806951440e-02	8.117303e-07
1.139874806951440e-02	7.917117e-07
1.140874806951440e-02	7.722348e-07
1.141874806951440e-02	7.533036e-07
1.142874806951440e-02	7.348827e-07
1.143874806951440e-02	7.169773e-07
1.144874806951440e-02	6.995529e-07
1.145874806951440e-02	6.826152e-07
1.146874806951440e-02	6.661307e-07
1.147874806951440e-02	6.501062e-07
1.148874806951440e-02	6.345087e-07
1.149874806951440e-02	6.193457e-07
1.150874806951440e-02	6.045852e-07
1.151874806951440e-02	5.902351e-07
1.152874806951440e-02	5.762643e-07
1.153874806951440e-02	5.626815e-07
1.154874806951440e-02	5.494560e-07
1.155874806951440e-02	5.365972e-07
1.156874806951440e-02	5.240752e-07
1.157874806951440e-02	5.118997e-07
1.158874806951440e-02	5.000416e-07
1.159874806951440e-02	4.885113e-07
1.160874806951440e-02	4.772799e-07
1.161874806951440e-02	4.663584e-07
1.162874806951440e-02	4.557186e-07
1.163874806951440e-02	4.453720e-07
1.164874806951440e-02	4.352908e-07
1.165874806951440e-02	4.254870e-07
